#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -3.869926735e-01 -1.076282816e-01 -5.007968789e-02 -2.887892340e-02 -1.702811709e-02 -4.250039853e-03 1.458450095e-02 3.555596714e-02 6.422881007e-02 9.302255782e-02 1.321462639e-01 1.691530403e-01 2.204402521e-01 2.666640785e-01 3.333862658e-01 3.906830884e-01 4.795714215e-01 5.515406904e-01 6.809560642e-01 7.765237266e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
1.40000000e+00 -1.42040409e-02 -3.48358855e-02 5.15606850e-03 2.56214816e-03 -2.43270769e-03 2.29495557e-03 -2.69245070e-03 1.78844815e-03 2.01720071e-03 -1.20869985e-03 1.58490654e-03 -1.18890228e-03 -1.58593625e-03 -1.43124788e-03 1.64221334e-03 -1.55310038e-03 1.54176150e-03 -1.49366790e-03 1.29237417e-03 -1.32339769e-03 
1.50000000e+00 -1.64139199e-02 -3.95630585e-02 6.40129931e-03 3.30603067e-03 -3.15579011e-03 3.08581253e-03 -3.57713362e-03 2.52747908e-03 2.72374520e-03 -1.69610003e-03 2.03866607e-03 -1.48957036e-03 -1.89912512e-03 -1.67687898e-03 1.90864906e-03 -1.79182559e-03 1.77669967e-03 -1.71527743e-03 1.48210147e-03 -1.51346031e-03 
1.60000000e+00 -1.87953840e-02 -4.45054075e-02 7.80609649e-03 4.16353372e-03 -3.99229565e-03 4.01623659e-03 -4.61906033e-03 3.42465069e-03 3.57789477e-03 -2.30409911e-03 2.58872689e-03 -1.85377204e-03 -2.25931269e-03 -1.95035169e-03 2.19798307e-03 -2.04626450e-03 2.02579421e-03 -1.94822812e-03 1.68085387e-03 -1.71126527e-03 
1.70000000e+00 -2.13500198e-02 -4.96434333e-02 9.37259082e-03 5.13805297e-03 -4.94570682e-03 5.09226455e-03 -5.82585088e-03 4.49216218e-03 4.59265354e-03 -3.04786521e-03 3.24772681e-03 -2.29197294e-03 -2.67294875e-03 -2.25504490e-03 2.51133092e-03 -2.31608002e-03 2.28816398e-03 -2.19120287e-03 1.88735871e-03 -1.91530072e-03 
1.80000000e+00 -2.40792342e-02 -5.49569144e-02 1.11014416e-02 6.23182432e-03 -6.01819871e-03 6.31826323e-03 -7.20317124e-03 5.74058844e-03 5.77976142e-03 -3.94228591e-03 4.02847863e-03 -2.81546397e-03 -3.14720268e-03 -2.59500734e-03 2.85014514e-03 -2.60108886e-03 2.56294905e-03 -2.44285531e-03 2.10030996e-03 -2.12402305e-03 
1.90000000e+00 -2.69842507e-02 -6.04249681e-02 1.29918361e-02 7.44588232e-03 -7.21057438e-03 7.69679934e-03 -8.75453098e-03 7.17857535e-03 7.14934841e-03 -5.00162787e-03 4.94371109e-03 -3.43623607e-03 -3.68993529e-03 -2.97501579e-03 3.21627966e-03 -2.90132766e-03 2.84935707e-03 -2.70184994e-03 2.31840111e-03 -2.33589281e-03 
2.00000000e+00 -3.00661071e-02 -6.60261129e-02 1.50414968e-02 8.78002793e-03 -8.52221310e-03 9.22852806e-03 -1.04811038e-02 8.81255051e-03 8.70959344e-03 -6.23917785e-03 6.00578072e-03 -4.16681897e-03 -4.30964461e-03 -3.40062042e-03 3.61205184e-03 -3.21712281e-03 3.14671260e-03 -2.96690469e-03 2.54035906e-03 -2.54941105e-03 
2.10000000e+00 -3.33256527e-02 -7.17383327e-02 1.72466962e-02 1.02328060e-02 -9.95103188e-03 1.09121015e-02 -1.23815736e-02 1.06464544e-02 1.04663940e-02 -7.66687112e-03 7.22635809e-03 -5.02008372e-03 -5.01538338e-03 -3.87817402e-03 4.04029947e-03 -3.54916265e-03 3.45450907e-03 -3.23683550e-03 2.76497839e-03 -2.76315529e-03 
2.20000000e+00 -3.67635457e-02 -7.75391434e-02 1.96022801e-02 1.18014926e-02 -1.14934608e-02 1.27440983e-02 -1.44520092e-02 1.26814964e-02 1.24230526e-02 -9.29491314e-03 8.61609264e-03 -6.00900964e-03 -5.81664639e-03 -4.41484171e-03 4.50443035e-03 -3.89857059e-03 3.77246234e-03 -3.51060225e-03 2.99115542e-03 -2.97581447e-03 
2.30000000e+00 -4.03802514e-02 -8.34056601e-02 2.21016977e-02 1.34820917e-02 -1.31444324e-02 1.47189754e-02 -1.66857690e-02 1.49159405e-02 1.45799862e-02 -1.11314015e-02 1.01842615e-02 -7.14641702e-03 -6.72322652e-03 -5.01858787e-03 5.00846184e-03 -4.26697755e-03 4.10056535e-03 -3.78735571e-03 3.21792166e-03 -3.18622211e-03 
