#          b = 2
#          n:            1           2           3           4           5
# Eigenvalues: -4.467643459e-01 -9.375747834e-02 1.247934329e-01 5.741011420e-01 1.084147115e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
5.50000000e+00 3.71638531e-01 -3.33368208e-01 8.44892053e-02 3.82311056e-01 -4.82649054e-01 
5.60000000e+00 3.44724056e-01 -3.31298388e-01 4.00774914e-02 4.15574562e-01 -5.32060700e-01 
5.70000000e+00 3.18823382e-01 -3.26948275e-01 -5.13254999e-03 4.36236006e-01 -5.59312214e-01 
5.80000000e+00 2.94009159e-01 -3.20537318e-01 -5.03503987e-02 4.44041015e-01 -5.63579949e-01 
5.90000000e+00 2.70338332e-01 -3.12296790e-01 -9.48296456e-02 4.39147376e-01 -5.45020651e-01 
6.00000000e+00 2.47852909e-01 -3.02464629e-01 -1.37881283e-01 4.22094656e-01 -5.04731079e-01 
6.10000000e+00 2.26580853e-01 -2.91280637e-01 -1.78884639e-01 3.93761949e-01 -4.44666944e-01 
6.20000000e+00 2.06537085e-01 -2.78982094e-01 -2.17295863e-01 3.55316368e-01 -3.67527137e-01 
6.30000000e+00 1.87724556e-01 -2.65799873e-01 -2.52653937e-01 3.08155059e-01 -2.76610584e-01 
6.40000000e+00 1.70135376e-01 -2.51955070e-01 -2.84584256e-01 2.53843548e-01 -1.75653980e-01 
6.50000000e+00 1.53751984e-01 -2.37656196e-01 -3.12799913e-01 1.94053134e-01 -6.86590474e-02 
6.60000000e+00 1.38548316e-01 -2.23096909e-01 -3.37100813e-01 1.30499807e-01 4.02820772e-02 
6.70000000e+00 1.24490974e-01 -2.08454305e-01 -3.57370873e-01 6.48868992e-02 1.47155259e-01 
6.80000000e+00 1.11540371e-01 -1.93887721e-01 -3.73573510e-01 -1.14672763e-03 2.48179370e-01 
6.90000000e+00 9.96518311e-02 -1.79538036e-01 -3.85745710e-01 -6.60715432e-02 3.39941867e-01 
7.00000000e+00 8.87766418e-02 -1.65527410e-01 -3.93990949e-01 -1.28504273e-01 4.19510287e-01 
7.10000000e+00 7.88630406e-02 -1.51959436e-01 -3.98471260e-01 -1.87236335e-01 4.84516533e-01 
7.20000000e+00 6.98571323e-02 -1.38919629e-01 -3.99398711e-01 -2.41253630e-01 5.33212338e-01 
7.30000000e+00 6.17037270e-02 -1.26476212e-01 -3.97026584e-01 -2.89747888e-01 5.64495751e-01 
7.40000000e+00 5.43470981e-02 -1.14681145e-01 -3.91640492e-01 -3.32120092e-01 5.77909876e-01 
7.50000000e+00 4.77316555e-02 -1.03571331e-01 -3.83549662e-01 -3.67976734e-01 5.73616219e-01 
7.60000000e+00 4.18025352e-02 -9.31699631e-02 -3.73078590e-01 -3.97119878e-01 5.52345947e-01 
7.70000000e+00 3.65061054e-02 -8.34879488e-02 -3.60559224e-01 -4.19532078e-01 5.15333059e-01 
7.80000000e+00 3.17903926e-02 -7.45253864e-02 -3.46323825e-01 -4.35357335e-01 4.64233869e-01 
7.90000000e+00 2.76054291e-02 -6.62730386e-02 -3.30698585e-01 -4.44879206e-01 4.01037404e-01 
8.00000000e+00 2.39035302e-02 -5.87137793e-02 -3.13998100e-01 -4.48497206e-01 3.27971229e-01 
8.10000000e+00 2.06395017e-02 -5.18239846e-02 -2.96520712e-01 -4.46702517e-01 2.47406974e-01 
8.20000000e+00 1.77707877e-02 -4.55748444e-02 -2.78544743e-01 -4.40053932e-01 1.61769363e-01 
8.30000000e+00 1.52575618e-02 -3.99335782e-02 -2.60325610e-01 -4.29154813e-01 7.34520268e-02 
8.40000000e+00 1.30627696e-02 -3.48645443e-02 -2.42093771e-01 -4.14631719e-01 -1.52573057e-02 
8.50000000e+00 1.11521281e-02 -3.03302331e-02 -2.24053467e-01 -3.97115161e-01 -1.02240315e-01 
8.60000000e+00 9.49408850e-03 -2.62921419e-02 -2.06382166e-01 -3.77222866e-01 -1.85599074e-01 
8.70000000e+00 8.05976796e-03 -2.27115310e-02 -1.89230664e-01 -3.55545710e-01 -2.63693951e-01 
8.80000000e+00 6.82285659e-03 -1.95500637e-02 -1.72723719e-01 -3.32636418e-01 -3.35168489e-01 
8.90000000e+00 5.75950425e-03 -1.67703353e-02 -1.56961170e-01 -3.09000989e-01 -3.98961844e-01 
9.00000000e+00 4.84819237e-03 -1.43362983e-02 -1.42019414e-01 -2.85092706e-01 -4.54309798e-01 
9.10000000e+00 4.06959508e-03 -1.22135920e-02 -1.27953176e-01 -2.61308542e-01 -5.00735702e-01 
9.20000000e+00 3.40643355e-03 -1.03697854e-02 -1.14797494e-01 -2.37987706e-01 -5.38032937e-01 
9.30000000e+00 2.84332673e-03 -8.77454353e-03 -1.02569820e-01 -2.15412025e-01 -5.66240600e-01 
9.40000000e+00 2.36664171e-03 -7.39972680e-03 -9.12721942e-02 -1.93807879e-01 -5.85614175e-01 
9.50000000e+00 1.96434581e-03 -6.21943326e-03 -8.08934118e-02 -1.73349364e-01 -5.96592896e-01 
9.60000000e+00 1.62586267e-03 -5.20999265e-03 -7.14111469e-02 -1.54162373e-01 -5.99765419e-01 
9.70000000e+00 1.34193373e-03 -4.34992154e-03 -6.27939812e-02 -1.36329345e-01 -5.95835229e-01 
9.80000000e+00 1.10448647e-03 -3.61984730e-03 -5.50033087e-02 -1.19894387e-01 -5.85587050e-01 
9.90000000e+00 9.06510172e-04 -3.00240845e-03 -4.79950914e-02 -1.04868576e-01 -5.69855266e-01 
1.00000000e+01 7.41939963e-04 -2.48213771e-03 -4.17214475e-02 -9.12352334e-02 -5.49495175e-01 
