#          b = 1.2
#          n:            1           2           3           4           5
# Eigenvalues: -4.832252533e-01 5.849713708e-02 7.392131362e-01 2.000011521e+00 3.575814346e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
5.40000000e+00 -3.17685864e-03 -8.88612940e-03 1.73063718e-01 -3.54857775e-01 7.54247526e-01 
5.50000000e+00 -2.36506558e-03 -6.38532954e-03 1.44225515e-01 -2.98119654e-01 8.39522931e-01 
5.60000000e+00 -1.74748162e-03 -4.52077217e-03 1.18909145e-01 -2.46006529e-01 8.89062504e-01 
5.70000000e+00 -1.28145078e-03 -3.15059457e-03 9.70078979e-02 -1.99481122e-01 9.05356488e-01 
5.80000000e+00 -9.32625540e-04 -2.15867770e-03 7.83231929e-02 -1.58989506e-01 8.92527793e-01 
5.90000000e+00 -6.73636120e-04 -1.45172345e-03 6.25936805e-02 -1.24564677e-01 8.55721445e-01 
6.00000000e+00 -4.82895520e-04 -9.56101290e-04 4.95206699e-02 -9.59321891e-02 8.00538210e-01 
6.10000000e+00 -3.43548643e-04 -6.14710436e-04 3.87893255e-02 -7.26088660e-02 7.32553480e-01 
6.20000000e+00 -2.42565188e-04 -3.84027448e-04 3.00854742e-02 -5.39886971e-02 6.56944594e-01 
6.30000000e+00 -1.69969980e-04 -2.31444893e-04 2.31081789e-02 -3.94128524e-02 5.78233692e-01 
6.40000000e+00 -1.18200202e-04 -1.32954867e-04 1.75784560e-02 -2.82230033e-02 5.00140483e-01 
6.50000000e+00 -8.15765947e-05 -7.11923392e-05 1.32446612e-02 -1.97988130e-02 4.25530343e-01 
6.60000000e+00 -5.58745136e-05 -3.38259455e-05 9.88513254e-03 -1.35815426e-02 3.56438045e-01 
6.70000000e+00 -3.79806659e-05 -1.22664668e-05 7.30869408e-03 -9.08628869e-03 2.94145654e-01 
6.80000000e+00 -2.56219485e-05 -6.53691397e-07 5.35358660e-03 -5.90552101e-03 2.39293972e-01 
6.90000000e+00 -1.71539017e-05 4.92116809e-06 3.88533050e-03 -3.70645812e-03 1.92009547e-01 
7.00000000e+00 -1.13976562e-05 6.99972382e-06 2.79394537e-03 -2.22449273e-03 1.52032920e-01 
7.10000000e+00 -7.51572736e-06 7.18625897e-06 1.99086559e-03 -1.25446671e-03 1.18837746e-01 
7.20000000e+00 -4.91847523e-06 6.45734366e-06 1.40580805e-03 -6.41160016e-04 9.17342385e-02 
7.30000000e+00 -3.19444464e-06 5.38005056e-06 9.83773088e-04 -2.69951045e-04 6.99536469e-02 
7.40000000e+00 -2.05905167e-06 4.26228499e-06 6.82295272e-04 -5.82565261e-05 5.27130806e-02 
7.50000000e+00 -1.31718839e-06 3.25384348e-06 4.69008781e-04 5.19195974e-05 3.92618377e-02 
7.60000000e+00 -8.36255998e-07 2.41253506e-06 3.19552723e-04 1.00206100e-04 2.89115594e-02 
7.70000000e+00 -5.26918419e-07 1.74612010e-06 2.15813145e-04 1.12872917e-04 2.10531148e-02 
7.80000000e+00 -3.29505375e-07 1.23793477e-06 1.44479813e-04 1.06735306e-04 1.51632532e-02 
7.90000000e+00 -2.04502649e-07 8.61814097e-07 9.58847816e-05 9.21062677e-05 1.08038802e-02 
8.00000000e+00 -1.25966515e-07 5.90216483e-07 6.30847021e-05 7.49646932e-05 7.61644597e-03 
8.10000000e+00 -7.70075915e-08 3.98191126e-07 4.11479545e-05 5.85015907e-05 5.31347377e-03 
8.20000000e+00 -4.67236559e-08 2.64924575e-07 2.66096768e-05 4.41899133e-05 3.66877981e-03 
8.30000000e+00 -2.81363400e-08 1.73970418e-07 1.70614070e-05 3.25011110e-05 2.50749801e-03 
8.40000000e+00 -1.68162293e-08 1.12837152e-07 1.08465134e-05 2.33678849e-05 1.69664233e-03 
8.50000000e+00 -9.97522350e-09 7.23268762e-08 6.83724564e-06 1.64703746e-05 1.13663767e-03 
8.60000000e+00 -5.87289800e-09 4.58378327e-08 4.27369036e-06 1.14036024e-05 7.54021710e-04 
8.70000000e+00 -3.43179178e-09 2.87341696e-08 2.64892959e-06 7.76800643e-06 4.95359797e-04 
8.80000000e+00 -1.99035671e-09 1.78225995e-08 1.62816137e-06 5.21230234e-06 3.22310971e-04 
8.90000000e+00 -1.14573797e-09 1.09412790e-08 9.92425435e-07 3.44840024e-06 2.07724009e-04 
9.00000000e+00 -6.54616566e-10 6.64966360e-09 5.99908544e-07 2.25117779e-06 1.32615153e-04 
9.10000000e+00 -3.71226425e-10 4.00185852e-09 3.59643182e-07 1.45104921e-06 8.38744989e-05 
9.20000000e+00 -2.08950727e-10 2.38527584e-09 2.13831043e-07 9.23984924e-07 5.25570074e-05 
9.30000000e+00 -1.16736027e-10 1.40833166e-09 1.26093864e-07 5.81503455e-07 3.26307466e-05 
9.40000000e+00 -6.47328679e-11 8.23810172e-10 7.37485016e-08 3.61834653e-07 2.00747081e-05 
9.50000000e+00 -3.56292431e-11 4.77490420e-10 4.27818864e-08 2.22680054e-07 1.22384366e-05 
9.60000000e+00 -1.94649382e-11 2.74265336e-10 2.46164395e-08 1.35578237e-07 7.39408347e-06 
9.70000000e+00 -1.05552131e-11 1.56132819e-10 1.40494684e-08 8.16855039e-08 4.42741637e-06 
9.80000000e+00 -5.68134772e-12 8.81004851e-11 7.95379444e-09 4.87127254e-08 2.62753606e-06 
9.90000000e+00 -3.03535116e-12 4.92791386e-11 4.46661802e-09 2.87585942e-08 1.54562045e-06 
1.00000000e+01 -1.60969100e-12 2.73265681e-11 2.48818761e-09 1.68111324e-08 9.01229418e-07 
