#          b = 2
#          n:            1
# Eigenvalues: -3.766895835e-01 
#      r             u_1(r)
1.000000000e-01 2.16560398e-03 
2.00000000e-01 8.62999269e-03 
3.00000000e-01 1.92965027e-02 
4.00000000e-01 3.40060353e-02 
5.00000000e-01 5.25400177e-02 
6.00000000e-01 7.46244525e-02 
7.00000000e-01 9.99349620e-02 
8.00000000e-01 1.28102712e-01 
9.00000000e-01 1.58721081e-01 
1.00000000e+00 1.91352922e-01 
1.10000000e+00 2.25538267e-01 
1.20000000e+00 2.60802286e-01 
1.30000000e+00 2.96663355e-01 
1.40000000e+00 3.32641042e-01 
1.50000000e+00 3.68263862e-01 
1.60000000e+00 4.03076649e-01 
1.70000000e+00 4.36647391e-01 
1.80000000e+00 4.68573425e-01 
1.90000000e+00 4.98486872e-01 
2.00000000e+00 5.26059247e-01 
2.10000000e+00 5.51005159e-01 
2.20000000e+00 5.73085089e-01 
2.30000000e+00 5.92107217e-01 
2.40000000e+00 6.07928306e-01 
2.50000000e+00 6.20453676e-01 
2.60000000e+00 6.29636314e-01 
2.70000000e+00 6.35475177e-01 
2.80000000e+00 6.38012782e-01 
2.90000000e+00 6.37332155e-01 
3.00000000e+00 6.33553254e-01 
3.10000000e+00 6.26828956e-01 
3.20000000e+00 6.17340726e-01 
3.30000000e+00 6.05294078e-01 
3.40000000e+00 5.90913914e-01 
3.50000000e+00 5.74439866e-01 
3.60000000e+00 5.56121710e-01 
3.70000000e+00 5.36214958e-01 
3.80000000e+00 5.14976679e-01 
3.90000000e+00 4.92661630e-01 
4.00000000e+00 4.69518736e-01 
4.10000000e+00 4.45787968e-01 
4.20000000e+00 4.21697627e-01 
4.30000000e+00 3.97462078e-01 
4.40000000e+00 3.73279909e-01 
4.50000000e+00 3.49332530e-01 
4.60000000e+00 3.25783187e-01 
4.70000000e+00 3.02776376e-01 
4.80000000e+00 2.80437622e-01 
4.90000000e+00 2.58873595e-01 
5.00000000e+00 2.38172525e-01 
5.10000000e+00 2.18404874e-01 
5.20000000e+00 1.99624227e-01 
5.30000000e+00 1.81868359e-01 
5.40000000e+00 1.65160444e-01 
5.50000000e+00 1.49510357e-01 
5.60000000e+00 1.34916043e-01 
5.70000000e+00 1.21364915e-01 
5.80000000e+00 1.08835255e-01 
5.90000000e+00 9.72975865e-02 
6.00000000e+00 8.67160009e-02 
6.10000000e+00 7.70494193e-02 
6.20000000e+00 6.82527732e-02 
6.30000000e+00 6.02780937e-02 
6.40000000e+00 5.30755019e-02 
6.50000000e+00 4.65940959e-02 
6.60000000e+00 4.07827330e-02 
6.70000000e+00 3.55907060e-02 
6.80000000e+00 3.09683188e-02 
6.90000000e+00 2.68673637e-02 
7.00000000e+00 2.32415071e-02 
7.10000000e+00 2.00465897e-02 
7.20000000e+00 1.72408494e-02 
7.30000000e+00 1.47850743e-02 
7.40000000e+00 1.26426938e-02 
7.50000000e+00 1.07798163e-02 
7.60000000e+00 9.16522084e-03 
7.70000000e+00 7.77031062e-03 
7.80000000e+00 6.56903505e-03 
7.90000000e+00 5.53778722e-03 
8.00000000e+00 4.65528236e-03 
8.10000000e+00 3.90242286e-03 
8.20000000e+00 3.26215425e-03 
8.30000000e+00 2.71931636e-03 
8.40000000e+00 2.26049292e-03 
8.50000000e+00 1.87386250e-03 
8.60000000e+00 1.54905317e-03 
8.70000000e+00 1.27700250e-03 
8.80000000e+00 1.04982441e-03 
8.90000000e+00 8.60683908e-04 
9.00000000e+00 7.03680147e-04 
9.10000000e+00 5.73738426e-04 
9.20000000e+00 4.66511061e-04 
9.30000000e+00 3.78287149e-04 
9.40000000e+00 3.05910979e-04 
9.50000000e+00 2.46708717e-04 
9.60000000e+00 1.98422969e-04 
9.70000000e+00 1.59154676e-04 
9.80000000e+00 1.27311843e-04 
9.90000000e+00 1.01564521e-04 
1.00000000e+01 8.08054931e-05 
