#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -3.299526782e-01 -9.679628167e-02 -4.628056458e-02 -2.566984111e-02 -1.115161880e-03 2.702364899e-02 7.648100378e-02 1.209328951e-01 2.089244998e-01 2.755258772e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
2.90000000e+00 7.63612151e-02 -1.00461207e-01 4.06880079e-02 -3.13296784e-02 3.66012899e-02 3.60106140e-02 3.22031914e-02 2.47712684e-02 1.77506255e-02 -1.19704061e-02 
3.00000000e+00 8.19337428e-02 -1.04685659e-01 4.32706299e-02 -3.35141764e-02 3.91062184e-02 3.91428254e-02 3.50479766e-02 2.75758610e-02 1.95737756e-02 -1.32451873e-02 
3.10000000e+00 8.76991453e-02 -1.08736957e-01 4.58204892e-02 -3.56748207e-02 4.15553050e-02 4.22988069e-02 3.79238028e-02 3.05293490e-02 2.14980630e-02 -1.46263878e-02 
3.20000000e+00 9.36552488e-02 -1.12593974e-01 4.83202376e-02 -3.77940420e-02 4.39228432e-02 4.54502937e-02 4.08031672e-02 3.36180013e-02 2.35175630e-02 -1.61192436e-02 
3.30000000e+00 9.97996477e-02 -1.16236099e-01 5.07522419e-02 -3.98537891e-02 4.61823914e-02 4.85670987e-02 4.36560663e-02 3.68249413e-02 2.56243118e-02 -1.77284347e-02 
3.40000000e+00 1.06129707e-01 -1.19643305e-01 5.30986843e-02 -4.18356506e-02 4.83069815e-02 5.16173274e-02 4.64501701e-02 4.01300773e-02 2.78081534e-02 -1.94579053e-02 
3.50000000e+00 1.12642567e-01 -1.22796209e-01 5.53416629e-02 -4.37209814e-02 5.02693365e-02 5.45676183e-02 4.91510326e-02 4.35100717e-02 3.00566025e-02 -2.13106723e-02 
3.60000000e+00 1.19335143e-01 -1.25676131e-01 5.74632931e-02 -4.54910308e-02 5.20420947e-02 5.73834064e-02 5.17223398e-02 4.69383518e-02 3.23547274e-02 -2.32886230e-02 
3.70000000e+00 1.26204134e-01 -1.28265150e-01 5.94458088e-02 -4.71270742e-02 5.35980406e-02 6.00292077e-02 5.41261928e-02 5.03851632e-02 3.46850569e-02 -2.53923029e-02 
3.80000000e+00 1.33246021e-01 -1.30546158e-01 6.12716625e-02 -4.86105444e-02 5.49103388e-02 6.24689229e-02 5.63234236e-02 5.38176682e-02 3.70275144e-02 -2.76206991e-02 
3.90000000e+00 1.40457076e-01 -1.32502912e-01 6.29236252e-02 -4.99231645e-02 5.59527694e-02 6.46661565e-02 5.82739428e-02 5.72000919e-02 3.93593836e-02 -2.99710196e-02 
4.00000000e+00 1.47833365e-01 -1.34120086e-01 6.43848837e-02 -5.10470790e-02 5.66999641e-02 6.65845497e-02 5.99371143e-02 6.04939138e-02 4.16553081e-02 -3.24384745e-02 
4.10000000e+00 1.55370753e-01 -1.35383309e-01 6.56391365e-02 -5.19649847e-02 5.71276390e-02 6.81881226e-02 6.12721553e-02 6.36581082e-02 4.38873290e-02 -3.50160606e-02 
4.20000000e+00 1.63064909e-01 -1.36279215e-01 6.66706866e-02 -5.26602578e-02 5.72128237e-02 6.94416246e-02 6.22385578e-02 6.66494303e-02 4.60249628e-02 -3.76943557e-02 
4.30000000e+00 1.70911313e-01 -1.36795477e-01 6.74645315e-02 -5.31170788e-02 5.69340847e-02 7.03108870e-02 6.27965265e-02 6.94227482e-02 4.80353215e-02 -4.04613253e-02 
4.40000000e+00 1.78905259e-01 -1.36920846e-01 6.80064499e-02 -5.33205533e-02 5.62717400e-02 7.07631771e-02 6.29074303e-02 7.19314187e-02 4.98832781e-02 -4.33021466e-02 
4.50000000e+00 1.87041866e-01 -1.36645183e-01 6.82830841e-02 -5.32568267e-02 5.52080642e-02 7.07675487e-02 6.25342610e-02 7.41277040e-02 5.15316765e-02 -4.61990556e-02 
4.60000000e+00 1.95316078e-01 -1.35959486e-01 6.82820185e-02 -5.29131950e-02 5.37274822e-02 7.02951861e-02 6.16420968e-02 7.59632264e-02 5.29415892e-02 -4.91312198e-02 
4.70000000e+00 2.03722678e-01 -1.34855917e-01 6.79918531e-02 -5.22782083e-02 5.18167496e-02 6.93197380e-02 6.01985625e-02 7.73894576e-02 5.40726204e-02 -5.20746438e-02 
4.80000000e+00 2.12256289e-01 -1.33327823e-01 6.74022722e-02 -5.13417667e-02 4.94651178e-02 6.78176384e-02 5.81742847e-02 7.83582368e-02 5.48832557e-02 -5.50021099e-02 
4.90000000e+00 2.20911384e-01 -1.31369754e-01 6.65041079e-02 -5.00952098e-02 4.66644831e-02 6.57684105e-02 5.55433334e-02 7.88223151e-02 5.53312557e-02 -5.78831598e-02 
5.00000000e+00 2.29682292e-01 -1.28977477e-01 6.52893978e-02 -4.85313970e-02 4.34095185e-02 6.31549514e-02 5.22836479e-02 7.87359175e-02 5.53740920e-02 -6.06841205e-02 
5.10000000e+00 2.38563207e-01 -1.26147989e-01 6.37514369e-02 -4.66447792e-02 3.96977858e-02 5.99637935e-02 4.83774395e-02 7.80553200e-02 5.49694227e-02 -6.33681790e-02 
5.20000000e+00 2.47548196e-01 -1.22879518e-01 6.18848236e-02 -4.44314612e-02 3.55298287e-02 5.61853405e-02 4.38115672e-02 7.67394328e-02 5.40756034e-02 -6.58955078e-02 
5.30000000e+00 2.56631204e-01 -1.19171532e-01 5.96854990e-02 -4.18892546e-02 3.09092443e-02 5.18140756e-02 3.85778812e-02 7.47503836e-02 5.26522302e-02 -6.82234456e-02 
5.40000000e+00 2.65806065e-01 -1.15024734e-01 5.71507804e-02 -3.90177205e-02 2.58427338e-02 4.68487380e-02 3.26735295e-02 7.20540958e-02 5.06607075e-02 -7.03067333e-02 
5.50000000e+00 2.75066508e-01 -1.10441060e-01 5.42793878e-02 -3.58182018e-02 2.03401305e-02 4.12924681e-02 2.61012236e-02 6.86208515e-02 4.80648379e-02 -7.20978087e-02 
5.60000000e+00 2.84406167e-01 -1.05423671e-01 5.10714637e-02 -3.22938448e-02 1.44144052e-02 3.51529170e-02 1.88694588e-02 6.44258349e-02 4.48314248e-02 -7.35471593e-02 
