#          b = 0.5
#          n:            1           2           3           4           5
# Eigenvalues: -3.099926750e-01 2.167576171e+00 6.530444813e+00 1.378255879e+01 2.404949236e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
5.40000000e+00 5.73556744e-22 5.03923111e-20 -3.02623286e-18 -7.74237048e-17 -3.53748530e-15 
5.50000000e+00 7.27327461e-23 6.67558644e-21 -4.15029439e-19 -1.11330566e-17 -5.21408492e-16 
5.60000000e+00 8.84307632e-24 8.46972753e-22 -5.44857695e-20 -1.53014777e-18 -7.34566064e-17 
5.70000000e+00 1.03092636e-24 1.02934315e-22 -6.84816455e-21 -2.01064660e-19 -9.89337345e-18 
5.80000000e+00 1.15247739e-25 1.19843360e-23 -8.24153946e-22 -2.52649553e-20 -1.27410285e-18 
5.90000000e+00 1.23550904e-26 1.33684156e-24 -9.49814426e-23 -3.03648881e-21 -1.56924821e-19 
6.00000000e+00 1.27026726e-27 1.42890793e-25 -1.04837319e-23 -3.49123263e-22 -1.84876453e-20 
6.10000000e+00 1.25258047e-28 1.46362685e-26 -1.10837744e-24 -3.84076487e-23 -2.08375037e-21 
6.20000000e+00 1.18468268e-29 1.43680985e-27 -1.12253415e-25 -4.04353492e-24 -2.24724893e-22 
6.30000000e+00 1.07475069e-30 1.35191611e-28 -1.08916783e-26 -4.07452750e-25 -2.31932494e-23 
6.40000000e+00 9.35287406e-32 1.21932170e-29 -1.01254549e-27 -3.93033578e-26 -2.29106285e-24 
6.50000000e+00 7.80792230e-33 1.05424031e-30 -9.01982132e-29 -3.62976316e-27 -2.16637809e-25 
6.60000000e+00 6.25315758e-34 8.73869384e-32 -7.69985028e-30 -3.20981114e-28 -1.96113386e-26 
6.70000000e+00 4.80458992e-35 6.94496675e-33 -6.29945735e-31 -2.71823058e-29 -1.69983620e-27 
6.80000000e+00 3.54180848e-36 5.29224751e-34 -4.93963014e-32 -2.20469644e-30 -1.41085478e-28 
6.90000000e+00 2.50509129e-37 3.86709270e-35 -3.71268869e-33 -1.71283016e-31 -1.12144793e-29 
7.00000000e+00 1.70007848e-38 2.70975640e-36 -2.67495435e-34 -1.27475742e-32 -8.53770979e-31 
7.10000000e+00 1.10707692e-39 1.82096941e-37 -1.84759811e-35 -9.08931033e-34 -6.22602661e-32 
7.20000000e+00 6.91776566e-41 1.17361619e-38 -1.22346123e-36 -6.20961475e-35 -4.34938386e-33 
7.30000000e+00 4.14809116e-42 7.25477214e-40 -7.76768364e-38 -4.06505938e-36 -2.91091638e-34 
7.40000000e+00 2.38693010e-43 4.30147947e-41 -4.72865217e-39 -2.55019813e-37 -1.86660863e-35 
7.50000000e+00 1.31811732e-44 2.44641144e-42 -2.76027626e-40 -1.53327574e-38 -1.14691986e-36 
