#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.483073787e-01 8.471401626e-01 3.090381805e+00 6.326996072e+00 1.075246531e+01 1.629184652e+01 2.348819979e+01 3.215732287e+01 4.389262813e+01 5.861020748e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
2.90000000e+00 -3.52774661e-05 -1.73148051e-03 6.38618360e-03 -4.34507518e-02 -2.44107183e-03 3.40429343e-01 7.23868312e-01 -9.46903034e-01 -7.42907854e-02 5.53978385e-01 
3.00000000e+00 -1.72081979e-05 -8.64083779e-04 3.86764203e-03 -2.69480568e-02 -1.90328033e-02 2.47637441e-01 4.49771661e-01 -1.04006148e+00 7.63030220e-01 1.28169613e+00 
3.10000000e+00 -7.85245829e-06 -4.07383164e-04 2.14729141e-03 -1.56524997e-02 -2.06517615e-02 1.71600274e-01 2.29679054e-01 -9.74113649e-01 1.23719859e+00 1.15602261e+00 
3.20000000e+00 -3.36736566e-06 -1.81611813e-04 1.10366173e-03 -8.51230001e-03 -1.61942257e-02 1.12296843e-01 8.73163433e-02 -8.12466372e-01 1.27719457e+00 3.23888865e-01 
3.30000000e+00 -1.36140511e-06 -7.66250389e-05 5.28507621e-04 -4.33766178e-03 -1.06858514e-02 6.89901524e-02 1.31122791e-02 -6.15698689e-01 1.02538441e+00 -7.03405987e-01 
3.40000000e+00 -5.20154294e-07 -3.06241826e-05 2.36850287e-04 -2.07377177e-03 -6.24166218e-03 3.96634783e-02 -1.56113193e-02 -4.28321984e-01 6.77988611e-01 -1.45497098e+00 
3.50000000e+00 -1.88157703e-07 -1.16034793e-05 9.96634204e-05 -9.31520534e-04 -3.30441022e-03 2.13147218e-02 -2.04691535e-02 -2.75114033e-01 3.74531671e-01 -1.73208596e+00 
3.60000000e+00 -6.45343345e-08 -4.17140149e-06 3.94767749e-05 -3.93721358e-04 -1.60668145e-03 1.07082954e-02 -1.61338030e-02 -1.63742944e-01 1.69686233e-01 -1.59878895e+00 
3.70000000e+00 -2.10114637e-08 -1.42384322e-06 1.47493637e-05 -1.56806621e-04 -7.23464205e-04 5.03387430e-03 -1.02376175e-02 -9.05418466e-02 5.77624577e-02 -1.24352784e+00 
3.80000000e+00 -6.50055251e-09 -4.61765857e-07 5.20659152e-06 -5.89240057e-05 -3.03403314e-04 2.21706750e-03 -5.64153650e-03 -4.66120195e-02 8.86342138e-03 -8.46221821e-01 
3.90000000e+00 -1.91266792e-09 -1.42374362e-07 1.73895290e-06 -2.09170629e-05 -1.18994863e-04 9.16157268e-04 -2.78761505e-03 -2.23837380e-02 -6.48140435e-03 -5.14573045e-01 
4.00000000e+00 -5.35599970e-10 -4.17582458e-08 5.50164198e-07 -7.02218616e-06 -4.37825011e-05 3.55719015e-04 -1.25622951e-03 -1.00442897e-02 -7.92256544e-03 -2.83395101e-01 
4.10000000e+00 -1.42833271e-10 -1.16569318e-08 1.65049132e-07 -2.23175575e-06 -1.51498869e-05 1.29957881e-04 -5.21649391e-04 -4.21870919e-03 -5.48024751e-03 -1.42682744e-01 
4.20000000e+00 -3.62952527e-11 -3.09864209e-09 4.69938419e-08 -6.72083863e-07 -4.93997059e-06 4.47337534e-05 -2.00974876e-04 -1.66109697e-03 -3.01465809e-03 -6.61237769e-02 
4.30000000e+00 -8.79263166e-12 -7.84695874e-10 1.27092625e-08 -1.91940482e-07 -1.52043360e-06 1.45259210e-05 -7.21905242e-05 -6.14053420e-04 -1.43245601e-03 -2.83548636e-02 
4.40000000e+00 -2.03156747e-12 -1.89390086e-10 3.26707200e-09 -5.20244535e-08 -4.42332975e-07 4.45476031e-06 -2.42651320e-05 -2.13409025e-04 -6.08382617e-04 -1.12974827e-02 
4.50000000e+00 -4.47881134e-13 -4.35821797e-11 7.98788319e-10 -1.33921078e-08 -1.21785162e-07 1.29161592e-06 -7.65394636e-06 -6.98190113e-05 -2.35133999e-04 -4.19643560e-03 
4.60000000e+00 -9.42482168e-14 -9.56564748e-12 1.85860979e-10 -3.27617929e-09 -3.17657282e-08 3.54395873e-07 -2.27080728e-06 -2.15282057e-05 -8.36001805e-05 -1.45724781e-03 
4.70000000e+00 -1.89368675e-14 -2.00318221e-12 4.11769440e-11 -7.62109766e-10 -7.85676327e-09 9.21027777e-08 -6.34866896e-07 -6.26319505e-06 -2.75411668e-05 -4.74196397e-04 
4.80000000e+00 -3.63413790e-15 -4.00372417e-13 8.69031091e-12 -1.68667653e-10 -1.84418584e-09 2.26900817e-08 -1.67523808e-07 -1.72100708e-06 -8.45018973e-06 -1.44885249e-04 
4.90000000e+00 -6.66309364e-16 -7.63964713e-14 1.74791527e-12 -3.55324664e-11 -4.11111737e-10 5.30273609e-09 -4.17777405e-08 -4.47073528e-07 -2.42395059e-06 -4.16372405e-05 
5.00000000e+00 -1.16746872e-16 -1.39209032e-14 3.35183448e-13 -7.12847358e-12 -8.70954411e-11 1.17641272e-09 -9.85807072e-09 -1.09891624e-07 -6.51999943e-07 -1.12716286e-05 
5.10000000e+00 -1.95530548e-17 -2.42302771e-15 6.13029853e-14 -1.36247615e-12 -1.75456855e-11 2.47905781e-10 -2.20322158e-09 -2.55794134e-08 -1.64844276e-07 -2.87816071e-06 
5.20000000e+00 -3.13099037e-18 -4.02949935e-16 1.06970811e-14 -2.48194771e-13 -3.36294874e-12 4.96513505e-11 -4.66802117e-10 -5.64263027e-09 -3.92512078e-08 -6.94030497e-07 
5.30000000e+00 -4.79443681e-19 -6.40389212e-17 1.78143729e-15 -4.31068024e-14 -6.13564818e-13 9.45636048e-12 -9.38344539e-11 -1.18042446e-09 -8.81651222e-09 -1.58210017e-07 
5.40000000e+00 -7.02210240e-20 -9.72813727e-18 2.83220524e-16 -7.14061546e-15 -1.06607674e-13 1.71348111e-12 -1.79084286e-11 -2.34335973e-10 -1.87072894e-09 -3.41264896e-08 
5.50000000e+00 -9.83897498e-21 -1.41284738e-18 4.29978245e-17 -1.12849443e-15 -1.76476208e-14 2.95525653e-13 -3.24712305e-12 -4.41715216e-11 -3.75420098e-10 -6.97143246e-09 
5.60000000e+00 -1.31904663e-21 -1.96210740e-19 6.23514566e-18 -1.70202286e-16 -2.78433516e-15 4.85350769e-14 -5.59681173e-13 -7.91022005e-12 -7.13300433e-11 -1.34977519e-09 
5.70000000e+00 -1.69226329e-22 -2.60609177e-20 8.63830881e-19 -2.45049376e-17 -4.18841906e-16 7.59332980e-15 -9.17519925e-14 -1.34648352e-12 -1.28433190e-11 -2.47865620e-10 
5.80000000e+00 -2.07796845e-23 -3.31107624e-21 1.14364170e-19 -3.36881052e-18 -6.00919853e-17 1.13209933e-15 -1.43131703e-14 -2.17965622e-13 -2.19325231e-12 -4.31983282e-11 
5.90000000e+00 -2.44250302e-24 -4.02467077e-22 1.44717675e-20 -4.42323474e-19 -8.22536866e-18 1.60902097e-16 -2.12567698e-15 -3.35694106e-14 -3.55488658e-13 -7.14941977e-12 
6.00000000e+00 -2.74862072e-25 -4.68100060e-23 1.75069002e-21 -5.54808554e-20 -1.07446479e-18 2.18073713e-17 -3.00663196e-16 -4.92095870e-15 -5.47238122e-14 -1.12425543e-12 
6.10000000e+00 -2.96164657e-26 -5.21022177e-24 2.02504084e-22 -6.64935618e-21 -1.33981384e-19 2.81929237e-18 -4.05183641e-17 -6.86872093e-16 -8.00572987e-15 -1.68061652e-13 
6.20000000e+00 -3.05592380e-27 -5.55062275e-25 2.24012026e-23 -7.61618553e-22 -1.59522610e-20 3.47772147e-19 -5.20435930e-18 -9.13232440e-17 -1.11361927e-15 -2.38937711e-14 
