#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.919461446e-01 -8.090469106e-02 2.741203525e-01 8.009204848e-01 1.560513588e+00 2.477430159e+00 3.734975746e+00 5.156771413e+00 7.234374253e+00 9.545778493e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
2.90000000e+00 -5.00186061e-01 -3.09363686e-01 1.11854825e-01 -2.17442527e-01 3.22091357e-01 4.26361219e-01 -4.56950920e-01 -4.56060634e-01 -5.98342992e-01 3.63804133e-02 
3.00000000e+00 -4.56753225e-01 -3.20402532e-01 4.05153191e-02 -2.88046813e-01 3.49701988e-01 3.84460457e-01 -4.13081398e-01 -3.97349885e-01 -6.83237040e-01 -2.64988543e-01 
3.10000000e+00 -4.14815893e-01 -3.24865820e-01 -3.32633867e-02 -3.35725652e-01 3.37505000e-01 2.87231438e-01 -2.97600449e-01 -2.54808043e-01 -6.13994586e-01 -4.98384485e-01 
3.20000000e+00 -3.74776772e-01 -3.23486005e-01 -1.06079418e-01 -3.57201510e-01 2.88112899e-01 1.49280861e-01 -1.31467013e-01 -5.81335445e-02 -4.04529415e-01 -6.05794245e-01 
3.30000000e+00 -3.36928155e-01 -3.17111238e-01 -1.74963340e-01 -3.51576477e-01 2.07977871e-01 -9.22857151e-03 5.63056186e-02 1.51816710e-01 -1.01509374e-01 -5.59844002e-01 
3.40000000e+00 -3.01464238e-01 -3.06644948e-01 -2.37487791e-01 -3.20200518e-01 1.06373569e-01 -1.65818440e-01 2.33865507e-01 3.31911418e-01 2.26097065e-01 -3.71632731e-01 
3.50000000e+00 -2.68494936e-01 -2.92992182e-01 -2.91821897e-01 -2.66338875e-01 -5.82868601e-03 -2.99092676e-01 3.71969561e-01 4.45853591e-01 5.03035140e-01 -8.86556801e-02 
3.60000000e+00 -2.38060132e-01 -2.77015109e-01 -3.36737146e-01 -1.94694960e-01 -1.17417727e-01 -3.91750908e-01 4.48706099e-01 4.71513219e-01 6.65437502e-01 2.16923313e-01 
3.70000000e+00 -2.10143543e-01 -2.59499080e-01 -3.71574364e-01 -1.10853997e-01 -2.17985172e-01 -4.32782628e-01 4.52737518e-01 4.04984323e-01 6.75823539e-01 4.66706567e-01 
3.80000000e+00 -1.84685534e-01 -2.41129650e-01 -3.96182757e-01 -2.07131151e-02 -2.98842032e-01 -4.18577942e-01 3.84625633e-01 2.60678193e-01 5.31777897e-01 5.96353927e-01 
