#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.723574083e-01 -1.198526271e-01 3.942431449e-03 1.769104105e-01 4.447129366e-01 7.571710995e-01 1.213006080e+00 1.695438311e+00 2.458809393e+00 3.219439565e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
2.90000000e+00 -8.96904802e-01 -2.53355084e-01 -1.83617304e-01 1.57332573e-01 1.03817928e-01 1.50054204e-01 -1.73702143e-01 -3.67723195e-01 -4.53571864e-01 -5.93678093e-01 
3.00000000e+00 -9.11724210e-01 -2.45680382e-01 -1.57161704e-01 1.13816941e-01 4.10063851e-02 7.58887095e-02 -8.20295769e-02 -2.89822370e-01 -3.91806677e-01 -6.31537248e-01 
3.10000000e+00 -9.23113055e-01 -2.34974304e-01 -1.27727202e-01 6.80983959e-02 -2.22117307e-02 6.92083215e-04 1.37582291e-02 -1.98439168e-01 -3.05753247e-01 -6.45538935e-01 
3.20000000e+00 -9.31095425e-01 -2.21388948e-01 -9.60186621e-02 2.17488942e-02 -8.31620987e-02 -7.15855866e-02 1.08308245e-01 -9.88979457e-02 -1.98909255e-01 -6.31736524e-01 
3.30000000e+00 -9.35728180e-01 -2.05126821e-01 -6.27978341e-02 -2.36355252e-02 -1.39257616e-01 -1.37088359e-01 1.96144138e-01 2.62204458e-03 -7.67686232e-02 -5.87844941e-01 
3.40000000e+00 -9.37098190e-01 -1.86434364e-01 -2.88588796e-02 -6.65004510e-02 -1.88128368e-01 -1.92295061e-01 2.72040906e-01 9.95369183e-02 5.34488009e-02 -5.13669640e-01 
3.50000000e+00 -9.35319289e-01 -1.65594740e-01 4.99618041e-03 -1.05395684e-01 -2.27738585e-01 -2.34240540e-01 3.31391485e-01 1.85364463e-01 1.83256027e-01 -4.11385841e-01 
3.60000000e+00 -9.30529024e-01 -1.42920119e-01 3.79812099e-02 -1.39031958e-01 -2.56484358e-01 -2.60702557e-01 3.70537214e-01 2.54243502e-01 3.03518464e-01 -2.85619789e-01 
3.70000000e+00 -9.22885273e-01 -1.18743701e-01 6.93481005e-02 -1.66329450e-01 -2.73267264e-01 -2.70341844e-01 3.87036631e-01 3.01420566e-01 4.05187407e-01 -1.43300268e-01 
3.80000000e+00 -9.12562801e-01 -9.34117195e-02 9.84066275e-02 -1.86456187e-01 -2.77540556e-01 -2.62786156e-01 3.79851768e-01 3.23659719e-01 4.80085137e-01 6.72942541e-03 
3.90000000e+00 -8.99749826e-01 -6.72756337e-02 1.24541471e-01 -1.98855041e-01 -2.69326300e-01 -2.38653124e-01 3.49437424e-01 3.19537257e-01 5.21669230e-01 1.54323466e-01 
4.00000000e+00 -8.84644664e-01 -4.06847105e-02 1.47225992e-01 -2.03258543e-01 -2.49203510e-01 -1.99510946e-01 2.97726390e-01 2.89592659e-01 5.25700697e-01 2.88827867e-01 
4.10000000e+00 -8.67452497e-01 -1.39791612e-02 1.66032519e-01 -1.99691372e-01 -2.18268999e-01 -1.47780152e-01 2.28011503e-01 2.36319686e-01 4.90745261e-01 3.99992045e-01 
4.20000000e+00 -8.48382329e-01 1.25160241e-02 1.80639025e-01 -1.88460925e-01 -1.78074021e-01 -8.65836122e-02 1.44733202e-01 1.63995688e-01 4.18449513e-01 4.78914157e-01 
4.30000000e+00 -8.27644161e-01 3.84964370e-02 1.90832244e-01 -1.70136880e-01 -1.30541013e-01 -1.95552329e-02 5.31882215e-02 7.83617211e-02 3.13552839e-01 5.18926508e-01 
4.40000000e+00 -8.05446421e-01 6.36827303e-02 1.96507383e-01 -1.45521139e-01 -7.78655537e-02 4.93797021e-02 -4.08193037e-02 -1.38205745e-02 1.83620162e-01 5.16326743e-01 
4.50000000e+00 -7.81993677e-01 8.78241721e-02 1.97664714e-01 -1.15609871e-01 -2.24091910e-02 1.16238050e-01 -1.31359144e-01 -1.05298319e-01 3.85073876e-02 4.70870415e-01 
4.60000000e+00 -7.57484648e-01 1.10701260e-01 1.94403394e-01 -8.15496380e-02 3.34110721e-02 1.77211195e-01 -2.12761612e-01 -1.88898329e-01 -1.10401809e-01 3.85960352e-01 
4.70000000e+00 -7.32110512e-01 1.32127413e-01 1.86912956e-01 -4.45897433e-02 8.72310102e-02 2.28881821e-01 -2.79982609e-01 -2.58091500e-01 -2.51125347e-01 2.68496358e-01 
4.80000000e+00 -7.06053527e-01 1.51949773e-01 1.75462944e-01 -6.03297708e-03 1.36839985e-01 2.68412091e-01 -3.28922343e-01 -3.07503334e-01 -3.72097358e-01 1.28382486e-01 
4.90000000e+00 -6.79485942e-01 1.70049197e-01 1.60391178e-01 3.28131192e-02 1.80269911e-01 2.93692499e-01 -3.56676842e-01 -3.33328411e-01 -4.63176307e-01 -2.22752286e-02 
5.00000000e+00 -6.52569199e-01 1.86339488e-01 1.42091143e-01 7.06825053e-02 2.15868872e-01 3.03443631e-01 -3.61706711e-01 -3.33615371e-01 -5.16552870e-01 -1.70213862e-01 
5.10000000e+00 -6.25453387e-01 2.00765998e-01 1.20998976e-01 1.06392677e-01 2.42356894e-01 2.97266291e-01 -3.43913781e-01 -3.08400571e-01 -5.27471095e-01 -3.02206762e-01 
5.20000000e+00 -5.98276954e-01 2.13303669e-01 9.75804816e-02 1.38881047e-01 2.58862465e-01 2.75638957e-01 -3.04622922e-01 -2.59681806e-01 -4.94692297e-01 -4.06291052e-01 
5.30000000e+00 -5.71166621e-01 2.23954645e-01 7.23185550e-02 1.67234570e-01 2.64939436e-01 2.39864840e-01 -2.46472897e-01 -1.91237202e-01 -4.20654304e-01 -4.72908266e-01 
5.40000000e+00 -5.44237488e-01 2.32745553e-01 4.57013503e-02 1.90711888e-01 2.60564920e-01 1.91973871e-01 -1.73226098e-01 -1.08307202e-01 -3.11306765e-01 -4.95842100e-01 
5.50000000e+00 -5.17593301e-01 2.39724562e-01 1.82114405e-02 2.08757635e-01 2.46119664e-01 1.34587445e-01 -8.95121049e-02 -1.71685366e-02 -1.75633464e-01 -4.72854904e-01 
5.60000000e+00 -4.91326836e-01 2.44958326e-01 -9.68382487e-03 2.21008906e-01 2.22353062e-01 7.07556845e-02 -5.23800475e-04 7.53628897e-02 -2.49020853e-02 -4.05953000e-01 
5.70000000e+00 -4.65520392e-01 2.48528888e-01 -3.75406394e-02 2.27294229e-01 1.90335495e-01 3.77806957e-03 8.83128961e-02 1.62458611e-01 1.28292497e-01 -3.01247316e-01 
5.80000000e+00 -4.40246351e-01 2.50530654e-01 -6.49456630e-02 2.27625680e-01 1.51401040e-01 -6.29812505e-02 1.71673778e-01 2.37791184e-01 2.71105894e-01 -1.68416448e-01 
5.90000000e+00 -4.15567787e-01 2.51067479e-01 -9.15215343e-02 2.22184994e-01 1.07083710e-01 -1.26272557e-01 2.44654394e-01 2.95994905e-01 3.91546130e-01 -1.98196585e-02 
6.00000000e+00 -3.91539089e-01 2.50249945e-01 -1.16931003e-01 2.11304755e-01 5.90503920e-02 -1.83124142e-01 3.03052230e-01 3.33039672e-01 4.79501057e-01 1.30656629e-01 
6.10000000e+00 -3.68206603e-01 2.48192862e-01 -1.40879749e-01 1.95445805e-01 9.03347501e-03 -2.30982027e-01 3.43597091e-01 3.46492437e-01 5.27599833e-01 2.68907669e-01 
6.20000000e+00 -3.45609251e-01 2.45013027e-01 -1.63117997e-01 1.75172123e-01 -4.12341277e-02 -2.67819442e-01 3.64117753e-01 3.35650766e-01 5.31832830e-01 3.81947011e-01 
6.30000000e+00 -3.23779129e-01 2.40827268e-01 -1.83441025e-01 1.51124385e-01 -9.00792332e-02 -2.92211934e-01 3.63637548e-01 3.01543821e-01 4.91877024e-01 4.59140046e-01 
6.40000000e+00 -3.02742072e-01 2.35750766e-01 -2.01688728e-01 1.23993368e-01 -1.35942030e-01 -3.03376278e-01 3.42396312e-01 2.46806673e-01 4.11101187e-01 4.93213730e-01 
6.50000000e+00 -2.82518177e-01 2.29895666e-01 -2.17744353e-01 9.44942488e-02 -1.77421686e-01 -3.01173636e-01 3.01800754e-01 1.75443343e-01 2.96254356e-01 4.80944091e-01 
6.60000000e+00 -2.63122283e-01 2.23369962e-01 -2.31532553e-01 6.33427082e-02 -2.13312967e-01 -2.86079421e-01 2.44309532e-01 9.25015972e-02 1.56869322e-01 4.23455449e-01 
6.70000000e+00 -2.44564409e-01 2.16276637e-01 -2.43016890e-01 3.12335814e-02 -2.42633377e-01 -2.59124082e-01 1.73262892e-01 3.68793073e-03 4.43761639e-03 3.26103979e-01 
6.80000000e+00 -2.26850141e-01 2.08713032e-01 -2.52196915e-01 -1.17740390e-03 -2.64640724e-01 -2.21810296e-01 9.26694746e-02 -8.50460980e-02 -1.48568513e-01 1.97959422e-01 
6.90000000e+00 -2.09980990e-01 2.00770430e-01 -2.59104937e-01 -3.32884396e-02 -2.78841401e-01 -1.76012977e-01 6.96465790e-03 -1.67914858e-01 -2.89740010e-01 5.09380336e-02 
7.00000000e+00 -1.93954704e-01 1.92533807e-01 -2.63802570e-01 -6.45628328e-02 -2.84989963e-01 -1.23868846e-01 -7.92443417e-02 -2.39677903e-01 -4.07750148e-01 -1.01326704e-01 
