#          b = 6
#          n:            1           2           3           4           5
# Eigenvalues: -2.714335492e-01 -8.424419410e-02 -4.155384353e-02 1.999329038e-03 4.551665738e-02 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
5.60000000e+00 3.20423320e-01 2.30399390e-02 6.35861532e-03 2.98114748e-02 1.62316752e-02 
5.70000000e+00 3.30373789e-01 1.65040957e-02 1.38767584e-03 3.72435823e-02 8.60771520e-03 
5.80000000e+00 3.40345928e-01 9.67784965e-03 -3.82895255e-03 4.49204629e-02 4.26470406e-04 
5.90000000e+00 3.50330579e-01 2.57438218e-03 -9.27820434e-03 5.28118522e-02 -8.29123023e-03 
6.00000000e+00 3.60318523e-01 -4.79218210e-03 -1.49457431e-02 6.08853711e-02 -1.75200930e-02 
6.10000000e+00 3.70300488e-01 -1.24068195e-02 -2.08160134e-02 6.91066827e-02 -2.72303951e-02 
6.20000000e+00 3.80267168e-01 -2.02536544e-02 -2.68722993e-02 7.74396644e-02 -3.73880556e-02 
6.30000000e+00 3.90209225e-01 -2.83160088e-02 -3.30967881e-02 8.58465931e-02 -4.79547410e-02 
6.40000000e+00 4.00117311e-01 -3.65764540e-02 -3.94706390e-02 9.42883431e-02 -5.88880057e-02 
6.50000000e+00 4.09982075e-01 -4.50168649e-02 -4.59740582e-02 1.02724596e-01 -7.01414673e-02 
6.60000000e+00 4.19794177e-01 -5.36184759e-02 -5.25863770e-02 1.11114058e-01 -8.16650147e-02 
6.70000000e+00 4.29544298e-01 -6.23619384e-02 -5.92861352e-02 1.19414693e-01 -9.34050501e-02 
6.80000000e+00 4.39223159e-01 -7.12273803e-02 -6.60511680e-02 1.27583951e-01 -1.05304761e-01 
6.90000000e+00 4.48821524e-01 -8.01944665e-02 -7.28586968e-02 1.35579014e-01 -1.17304424e-01 
7.00000000e+00 4.58330221e-01 -8.92424608e-02 -7.96854218e-02 1.43357040e-01 -1.29341733e-01 
7.10000000e+00 4.67740150e-01 -9.83502883e-02 -8.65076189e-02 1.50875409e-01 -1.41352159e-01 
7.20000000e+00 4.77042295e-01 -1.07496599e-01 -9.33012372e-02 1.58091976e-01 -1.53269326e-01 
7.30000000e+00 4.86227739e-01 -1.16659832e-01 -1.00041999e-01 1.64965315e-01 -1.65025418e-01 
7.40000000e+00 4.95287673e-01 -1.25818278e-01 -1.06705499e-01 1.71454965e-01 -1.76551591e-01 
7.50000000e+00 5.04213410e-01 -1.34950146e-01 -1.13267310e-01 1.77521679e-01 -1.87778417e-01 
7.60000000e+00 5.12996396e-01 -1.44033628e-01 -1.19703081e-01 1.83127651e-01 -1.98636324e-01 
7.70000000e+00 5.21628223e-01 -1.53046957e-01 -1.25988638e-01 1.88236757e-01 -2.09056059e-01 
7.80000000e+00 5.30100637e-01 -1.61968477e-01 -1.32100088e-01 1.92814769e-01 -2.18969146e-01 
7.90000000e+00 5.38405555e-01 -1.70776703e-01 -1.38013919e-01 1.96829573e-01 -2.28308358e-01 
8.00000000e+00 5.46535070e-01 -1.79450382e-01 -1.43707093e-01 2.00251366e-01 -2.37008177e-01 
8.10000000e+00 5.54481465e-01 -1.87968554e-01 -1.49157148e-01 2.03052852e-01 -2.45005258e-01 
8.20000000e+00 5.62237224e-01 -1.96310609e-01 -1.54342287e-01 2.05209411e-01 -2.52238884e-01 
8.30000000e+00 5.69795040e-01 -2.04456351e-01 -1.59241470e-01 2.06699267e-01 -2.58651405e-01 
8.40000000e+00 5.77147826e-01 -2.12386045e-01 -1.63834505e-01 2.07503626e-01 -2.64188673e-01 
8.50000000e+00 5.84288726e-01 -2.20080478e-01 -1.68102123e-01 2.07606816e-01 -2.68800447e-01 
8.60000000e+00 5.91211122e-01 -2.27521009e-01 -1.72026067e-01 2.06996389e-01 -2.72440789e-01 
8.70000000e+00 5.97908643e-01 -2.34689617e-01 -1.75589163e-01 2.05663224e-01 -2.75068429e-01 
8.80000000e+00 6.04375176e-01 -2.41568952e-01 -1.78775387e-01 2.03601596e-01 -2.76647104e-01 
8.90000000e+00 6.10604871e-01 -2.48142378e-01 -1.81569940e-01 2.00809239e-01 -2.77145875e-01 
9.00000000e+00 6.16592150e-01 -2.54394016e-01 -1.83959298e-01 1.97287379e-01 -2.76539402e-01 
9.10000000e+00 6.22331716e-01 -2.60308787e-01 -1.85931274e-01 1.93040755e-01 -2.74808194e-01 
9.20000000e+00 6.27818556e-01 -2.65872443e-01 -1.87475065e-01 1.88077617e-01 -2.71938817e-01 
9.30000000e+00 6.33047950e-01 -2.71071608e-01 -1.88581295e-01 1.82409705e-01 -2.67924067e-01 
9.40000000e+00 6.38015477e-01 -2.75893807e-01 -1.89242053e-01 1.76052209e-01 -2.62763106e-01 
9.50000000e+00 6.42717020e-01 -2.80327494e-01 -1.89450925e-01 1.69023711e-01 -2.56461552e-01 
9.60000000e+00 6.47148770e-01 -2.84362077e-01 -1.89203019e-01 1.61346103e-01 -2.49031533e-01 
9.70000000e+00 6.51307229e-01 -2.87987944e-01 -1.88494982e-01 1.53044498e-01 -2.40491696e-01 
9.80000000e+00 6.55189220e-01 -2.91196479e-01 -1.87325015e-01 1.44147107e-01 -2.30867176e-01 
9.90000000e+00 6.58791884e-01 -2.93980079e-01 -1.85692878e-01 1.34685117e-01 -2.20189518e-01 
1.00000000e+01 6.62112684e-01 -2.96332167e-01 -1.83599889e-01 1.24692539e-01 -2.08496566e-01 
