#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.924250637e-01 2.379595318e-01 1.353795348e+00 2.973362552e+00 5.112616427e+00 7.754341059e+00 1.095216565e+01 1.467350919e+01 1.901713332e+01 2.392265106e+01 2.955622788e+01 3.581488634e+01 4.297284145e+01 5.086308071e+01 5.995069558e+01 6.997266712e+01 8.179414587e+01 9.502554829e+01 1.117403700e+02 1.318342824e+02 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
1.50000000e+00 8.78755794e-02 -2.55193715e-01 -5.00946576e-01 5.25386000e-02 -4.87323610e-01 2.99880675e-01 -1.90761588e-02 -3.68858601e-01 -4.69523863e-01 5.88826347e-01 -5.67925115e-01 5.90126333e-01 6.44916348e-01 -5.73629622e-01 6.35752081e-01 2.37837847e-01 4.93462272e-02 -7.38025563e-01 6.26942186e-01 5.72502455e-01 
1.60000000e+00 6.14968749e-02 -1.88972822e-01 -4.80252273e-01 3.02947024e-01 -4.42542801e-01 -7.07887865e-02 -4.03981402e-01 -5.34810903e-01 -4.00166788e-01 2.37321326e-01 -1.32822670e-01 -5.02079826e-03 1.07539357e-01 -1.20682562e-01 4.02209244e-01 6.13501422e-01 -6.65399034e-01 5.26026040e-01 6.54769830e-01 -4.84776517e-01 
1.70000000e+00 4.31265636e-02 -1.32476444e-01 -4.12072858e-01 4.72778107e-01 -2.08987175e-01 -4.05576999e-01 -4.72390992e-01 -2.07710637e-01 1.08655376e-01 -4.13384079e-01 4.82027718e-01 -6.13336152e-01 -5.97590775e-01 5.72989654e-01 -5.91301665e-01 -2.40509582e-01 2.40101295e-02 6.94072369e-01 -7.04135873e-01 -4.28869817e-01 
1.80000000e+00 3.05401226e-02 -8.82950578e-02 -3.23464877e-01 5.42734601e-01 1.06467903e-01 -5.16987743e-01 -1.97520207e-01 3.04779100e-01 5.00995584e-01 -5.70509998e-01 4.36056664e-01 -3.05145536e-01 -3.17863589e-01 2.44279918e-01 -4.78558167e-01 -5.96680667e-01 6.90514817e-01 -6.39171007e-01 -4.86625352e-01 5.69539337e-01 
1.90000000e+00 2.18929198e-02 -5.62307930e-02 -2.36369475e-01 5.27988196e-01 3.91091281e-01 -3.67011295e-01 2.12730671e-01 5.58481168e-01 3.88299779e-01 -6.08938688e-02 -1.89476405e-01 4.58854988e-01 4.78904122e-01 -5.28359033e-01 5.36090136e-01 2.47525505e-01 -1.03697853e-01 -5.90095019e-01 8.10791668e-01 2.30251731e-01 
2.00000000e+00 1.58180099e-02 -3.46925409e-02 -1.64241336e-01 4.59678939e-01 5.70428970e-01 -5.31810610e-02 4.96152130e-01 3.63858032e-01 -9.69096035e-02 5.15819716e-01 -5.75910169e-01 5.64244514e-01 5.18073855e-01 -3.89331118e-01 5.56491097e-01 5.98049026e-01 -6.95448172e-01 7.58723799e-01 2.57705837e-01 -6.32590749e-01 
2.10000000e+00 1.13991534e-02 -2.16023432e-02 -1.11965668e-01 3.68122124e-01 6.22511436e-01 2.77283777e-01 5.03053145e-01 -1.00796092e-01 -4.98900075e-01 5.29131383e-01 -2.52134731e-01 -1.21314451e-01 -2.55128543e-01 4.16205008e-01 -4.55800157e-01 -2.36202983e-01 1.71469556e-01 4.47682033e-01 -8.82467151e-01 9.94142183e-03 
2.20000000e+00 8.07944188e-03 -1.48118424e-02 -7.78438934e-02 2.74326664e-01 5.68807838e-01 5.13472003e-01 2.50434893e-01 -4.87979384e-01 -4.81765400e-01 -3.97862549e-03 3.78219147e-01 -6.37325574e-01 -6.54545729e-01 5.32902374e-01 -6.45003305e-01 -6.19203532e-01 6.89036246e-01 -8.53053916e-01 3.76293110e-03 6.23835113e-01 
2.30000000e+00 5.54891070e-03 -1.22462588e-02 -5.65650378e-02 1.89739927e-01 4.54249689e-01 6.17690298e-01 -1.27805678e-01 -5.61019185e-01 -7.89515285e-02 -5.22844004e-01 5.89733440e-01 -3.16562606e-01 -8.67558628e-02 -2.11992629e-01 3.26687881e-01 1.90435800e-01 -2.09321195e-01 -2.95802127e-01 8.89761805e-01 -2.54551087e-01 
2.40000000e+00 3.64021428e-03 -1.20042058e-02 -4.22057402e-02 1.19929398e-01 3.26175440e-01 6.10572111e-01 -4.71619701e-01 -3.21327817e-01 3.95990469e-01 -5.51453327e-01 1.61677363e-01 3.91686623e-01 6.23961259e-01 -6.24207341e-01 7.33071705e-01 6.58236140e-01 -6.83740564e-01 9.10928816e-01 -2.59682090e-01 -5.30706592e-01 
2.50000000e+00 2.24970720e-03 -1.25122930e-02 -3.04180265e-02 6.77427175e-02 2.18506045e-01 5.34363560e-01 -6.70495088e-01 6.39028383e-02 6.16926905e-01 -1.14908215e-01 -4.49099845e-01 6.19965573e-01 4.82322182e-01 -9.24380281e-02 -1.21661043e-01 -9.25714037e-02 2.02368456e-01 1.66432104e-01 -8.36868706e-01 4.61615094e-01 
2.60000000e+00 1.29039715e-03 -1.26909690e-02 -1.92951430e-02 3.41209526e-02 1.44885684e-01 4.25670015e-01 -6.97042400e-01 4.13637925e-01 4.58756200e-01 3.93231409e-01 -6.38895234e-01 1.52139482e-01 -3.14664834e-01 5.73698911e-01 -7.80021517e-01 -7.01339398e-01 6.88561653e-01 -9.38113172e-01 4.77276702e-01 3.73856446e-01 
2.70000000e+00 6.73559024e-04 -1.20314602e-02 -8.96838847e-03 1.74940736e-02 1.01384557e-01 3.08584697e-01 -5.95973828e-01 6.29673858e-01 3.50646287e-02 6.12051483e-01 -2.43102955e-01 -4.59823510e-01 -7.28282067e-01 4.42675802e-01 -1.73961811e-01 -7.76864169e-02 -1.36677965e-01 -8.81522791e-02 7.52525179e-01 -6.05607941e-01 
2.80000000e+00 3.09421493e-04 -1.05269972e-02 -5.01028575e-04 1.35993359e-02 7.54365230e-02 1.99688924e-01 -4.43733662e-01 6.99747767e-01 -4.18386174e-01 4.54401089e-01 3.75157995e-01 -6.11448758e-01 -2.57046374e-01 -2.79513906e-01 7.05464999e-01 7.10728195e-01 -7.00201073e-01 9.47284533e-01 -6.39281689e-01 -1.91879326e-01 
2.90000000e+00 1.15775698e-04 -8.48667272e-03 5.19556639e-03 1.66172991e-02 5.52784194e-02 1.12184175e-01 -3.04735858e-01 6.54682044e-01 -7.05498400e-01 6.19755738e-02 7.11214880e-01 -2.17137020e-01 5.20036276e-01 -6.60341181e-01 5.22134697e-01 3.32102691e-01 -2.73143350e-03 8.40948806e-02 -6.76410088e-01 6.86859281e-01 
3.00000000e+00 2.59889423e-05 -6.31708158e-03 7.93817279e-03 2.10949106e-02 3.51978608e-02 5.44601558e-02 -2.07490561e-01 5.35128125e-01 -7.66026596e-01 -3.62691041e-01 5.44753078e-01 3.51281201e-01 7.38492448e-01 -2.55360835e-01 -4.05525087e-01 -6.12179726e-01 6.91785434e-01 -9.44411693e-01 7.42521680e-01 2.36658861e-02 
3.10000000e+00 -7.59795968e-06 -4.35482186e-03 8.26779351e-03 2.35020685e-02 1.54685529e-02 2.68516070e-02 -1.47613570e-01 3.82059662e-01 -6.63337099e-01 -6.71646816e-01 4.09556155e-02 6.67783659e-01 2.16501143e-01 4.58124104e-01 -7.68061347e-01 -6.38318956e-01 2.25314478e-01 -1.72967523e-01 6.47603331e-01 -7.27186579e-01 
3.20000000e+00 -1.49966614e-05 -2.78898183e-03 7.09925688e-03 2.26789317e-02 -8.79113872e-04 2.16574728e-02 -1.06833872e-01 2.34815088e-01 -5.03822715e-01 -7.99437218e-01 -4.68540406e-01 5.48645155e-01 -4.91310935e-01 7.14402423e-01 -1.47841071e-01 3.03286082e-01 -6.00529132e-01 9.13366671e-01 -7.86222231e-01 1.01321675e-01 
3.30000000e+00 -1.26844491e-05 -1.66409378e-03 5.32835094e-03 1.92488561e-02 -1.13749442e-02 2.73170589e-02 -7.08881818e-02 1.23746781e-01 -3.62511155e-01 -7.51721115e-01 -7.56496276e-01 9.29806402e-02 -7.73239896e-01 2.64231007e-01 6.25306014e-01 8.54551103e-01 -5.06475410e-01 3.65142311e-01 -6.97206493e-01 7.57916106e-01 
