# Integrating ((x-x^2)^4)/(1+x^2) dx from 0 to 1
# exact result              = 0.001264489267349678
#
# result from gsl routine   = 0.001264489267349619
# error of gsl routine      = -5.919743861770854e-17
#
# Errors in integration routines for each number of intervals (in log10)
#         N                    Simpsons                  Milnes  
#-----------------------------------------------------------------------
0.4771212547196624  -1.8871394140072759e-01  -1.2067071609496796e-01
8.4509804001425681e-01  -2.1318584817141404e+00  -1.9060352411772188e+00
1.0413926851582249e+00  -3.4618912046562063e+00  -3.6456096651911003e+00
1.1760912590556813e+00  -4.3386828877677397e+00  -4.4614973585245998e+00
1.2787536009528289e+00  -4.9935549815319540e+00  -5.1151135820155904e+00
1.3617278360175928e+00  -5.5164577142344591e+00  -5.6378542227315709e+00
1.4313637641589874e+00  -5.9517623718241390e+00  -6.0730970112625071e+00
1.4913616938342726e+00  -6.3246500928561185e+00  -6.4459563793781802e+00
1.5440680443502757e+00  -6.6507961747280957e+00  -6.7720880743730945e+00
1.5910646070264991e+00  -6.9406242533003262e+00  -7.0619083339154010e+00
1.6334684555795866e+00  -7.2014183198701147e+00  -7.3226980219896749e+00
1.6720978579357175e+00  -7.4384693647846900e+00  -7.5597466867275491e+00
1.7075701760979363e+00  -7.6557420517677564e+00  -7.7770183315617132e+00
1.7403626894942439e+00  -7.8562840733932617e+00  -7.9775603078598998e+00
1.7708520116421442e+00  -8.0424887130908473e+00  -8.1637658982408610e+00
1.7993405494535817e+00  -8.2162697935750000e+00  -8.3375488923911156e+00
1.8260748027008264e+00  -8.3791817162284783e+00  -8.5004639158628148e+00
1.8512583487190752e+00  -8.5325043351924954e+00  -8.6537909667404396e+00
1.8750612633917001e+00  -8.6773036085701225e+00  -8.7985963502712341e+00
1.8976270912904414e+00  -8.8144774878338623e+00  -8.9357782674456931e+00
1.9190780923760740e+00  -8.9447879321177233e+00  -9.0660998053191300e+00
1.9395192526186185e+00  -9.0688900558569721e+00  -9.1902150397096989e+00
1.9590413923210936e+00  -9.1873466793757572e+00  -9.3086895149850761e+00
1.9777236052888478e+00  -9.3006500033745017e+00  -9.4220126905944515e+00
1.9956351945975499e+00  -9.4092276072877805e+00  -9.5306182661894816e+00
2.0128372247051720e+00  -9.5134578891183690e+00  -9.6348810707113000e+00
2.0293837776852097e+00  -9.6136743614010562e+00  -9.7351375167980390e+00
2.0453229787866576e+00  -9.7101763974663768e+00  -9.8316866759385189e+00
2.0606978403536118e+00  -9.8032237173096313e+00  -9.9247922940197775e+00
2.0755469613925310e+00  -9.8930575918226111e+00  -1.0014689864537271e+01
2.0899051114393981e+00  -9.9798872268616634e+00  -1.0101606937539827e+01
2.1038037209559568e+00  -1.0063910845437887e+01  -1.0185725072585107e+01
2.1172712956557644e+00  -1.0145303598631251e+01  -1.0267228629003860e+01
2.1303337684950061e+00  -1.0224213106708209e+01  -1.0346275131018285e+01
2.1430148002540950e+00  -1.0300786343308005e+01  -1.0423002928695324e+01
2.1553360374650619e+00  -1.0375177098676170e+01  -1.0497555066602557e+01
2.1673173347481760e+00  -1.0447467321758410e+01  -1.0570066136507188e+01
2.1789769472931693e+00  -1.0517801612324444e+01  -1.0640612537992883e+01
2.1903316981702914e+00  -1.0586254684168448e+01  -1.0709361744103120e+01
2.2013971243204513e+00  -1.0652962162497071e+01  -1.0776342860338479e+01
2.2121876044039577e+00  -1.0717943380626551e+01  -1.0841686931146429e+01
2.2227164711475833e+00  -1.0781346586771257e+01  -1.0905454843293226e+01
2.2329961103921536e+00  -1.0843205109700540e+01  -1.0967766829026193e+01
2.2430380486862944e+00  -1.0903601742295935e+01  -1.1028645873534842e+01
2.2528530309798933e+00  -1.0962563659703029e+01  -1.1088177049895252e+01
2.2624510897304293e+00  -1.1020231676688228e+01  -1.1146493672821071e+01
2.2718416065364990e+00  -1.1076572607974482e+01  -1.1203493912871728e+01
2.2810333672477277e+00  -1.1131680682070291e+01  -1.1259378095155794e+01
2.2900346113625178e+00  -1.1185602876530632e+01  -1.1314187988229346e+01
2.2988530764097068e+00  -1.1238415690779346e+01  -1.1367834870014214e+01
2.3074960379132130e+00  -1.1290089165705647e+01  -1.1420518805909587e+01
2.3159703454569178e+00  -1.1340648408177477e+01  -1.1472301830530144e+01
2.3242824552976926e+00  -1.1390220995087319e+01  -1.1523158921116986e+01
2.3324384599156054e+00  -1.1438886258778814e+01  -1.1573068072073394e+01
2.3404441148401185e+00  -1.1486473041411635e+01  -1.1622354093556314e+01
2.3483048630481607e+00  -1.1532981994541093e+01  -1.1670535766675775e+01
2.3560258571931225e+00  -1.1578790306526189e+01  -1.1718383176485808e+01
2.3636119798921444e+00  -1.1623667106954946e+01  -1.1765037204912218e+01
2.3710678622717363e+00  -1.1667789148701468e+01  -1.1811628889856703e+01
2.3783979009481375e+00  -1.1710779017157110e+01  -1.1856700477285347e+01
2.3856062735983121e+00  -1.1753275101147942e+01  -1.1901857501728392e+01
2.3926969532596658e+00  -1.1794777513113766e+01  -1.1946165145934666e+01
2.3996737214810380e+00  -1.1835284313379981e+01  -1.1990310069340513e+01
2.4065401804339550e+00  -1.1875633418621675e+01  -1.2033541998465754e+01
2.4132997640812519e+00  -1.1914638883674677e+01  -1.2076110913670481e+01
2.4199557484897580e+00  -1.1952794712646771e+01  -1.2118881254518506e+01
2.4265112613645754e+00  -1.1990528618946016e+01  -1.2160901108133615e+01
2.4329692908744058e+00  -1.2027628789974191e+01  -1.2202175149804720e+01
2.4393326938302629e+00  -1.2064293243065324e+01  -1.2243461083529585e+01
