#Dimension         error
0 -1.031857213298389
0.3010299956639812 -1.620899300984378
0.4771212547196624 -2.530365264378849
0.6020599913279624 -2.610293836516516
0.6989700043360189 -3.017084803956496
0.7781512503836436 -3.040520289291004
0.8450980400142568 -3.343967182570946
0.9030899869919435 -3.345796602104568
0.9542425094393249 -3.511949618092503
1 -3.613630061526848
1.041392685158225 -3.625856613575172
1.079181246047625 -3.75506543894989
1.113943352306837 -3.824386179219084
1.146128035678238 -3.827094216174105
1.176091259055681 -3.905823357665269
1.204119982655925 -3.991642993139371
1.230448921378274 -4.000664516096856
1.255272505103306 -4.020647407638014
1.278753600952829 -4.093746740670225
1.301029995663981 -4.151126751727472
1.322219294733919 -4.156250139554987
1.342422680822206 -4.169889180590238
1.361727836017593 -4.223804111806573
1.380211241711606 -4.279133464422666
1.397940008672038 -4.294825252593229
1.414973347970818 -4.295964694778947
1.431363764158987 -4.322865839517608
1.447158031342219 -4.372935669988189
1.462397997898956 -4.410684843816471
1.477121254719662 -4.418399777998745
1.491361693834273 -4.420353955664369
1.505149978319906 -4.443025300645018
1.518513939877888 -4.484205627326881
1.531478917042255 -4.519208606186797
1.544068044350276 -4.530838877297714
1.556302500767287 -4.530845116158192
1.568201724066995 -4.541689717377922
1.57978359661681 -4.570903399786006
1.591064607026499 -4.606379183831944
1.602059991327963 -4.629219251416545
1.612783856719735 -4.634253207282227
1.623249290397901 -4.634849956583204
1.633468455579587 -4.646430707013096
1.643452676486187 -4.672377367044178
1.653212513775344 -4.702826857239815
1.662757831681574 -4.723593293286413
1.672097857935718 -4.729671155355235
1.681241237375587 -4.729687910069635
