#Dimension         error
0 -0.9824092782476842
0.3010299956639812 -1.91185431508064
0.4771212547196624 -2.124267163218569
0.6020599913279624 -2.166155297782594
0.6989700043360189 -2.404816094230775
0.7781512503836436 -2.619792635986097
0.8450980400142568 -2.651447355116323
0.9030899869919435 -2.665154560665663
0.9542425094393249 -2.752272580814027
1 -2.885074370946875
1.041392685158225 -2.987209987473166
1.079181246047625 -3.017915184799991
1.113943352306837 -3.017925192400072
1.146128035678238 -3.036679630392359
1.176091259055681 -3.089952287614886
1.204119982655925 -3.1671619732619
1.230448921378274 -3.242243644896932
1.255272505103306 -3.289524351774364
1.278753600952829 -3.304510831984226
1.301029995663981 -3.304786509859197
1.322219294733919 -3.31083729557361
1.342422680822206 -3.333776178029991
1.361727836017593 -3.374577191068108
1.380211241711606 -3.426457941832243
1.397940008672038 -3.477677981437893
1.414973347970818 -3.516286052974842
1.431363764158987 -3.536543539854153
1.447158031342219 -3.542010697375515
1.462397997898956 -3.542020874576271
1.477121254719662 -3.545766497615465
1.491361693834273 -3.558935510457717
1.505149978319906 -3.583137083936732
1.518513939877888 -3.616436661196763
1.531478917042255 -3.654152307563393
1.544068044350276 -3.690051430124941
1.556302500767287 -3.718288069330268
1.568201724066995 -3.735685845941614
1.57978359661681 -3.7430072723601
1.591064607026499 -3.744219996346908
1.602059991327963 -3.744446920658141
1.612783856719735 -3.748098966948972
1.623249290397901 -3.757931653436827
1.633468455579587 -3.77485091041395
1.643452676486187 -3.798064157469795
1.653212513775344 -3.825363698562702
1.662757831681574 -3.853552390544217
1.672097857935718 -3.879111717208203
1.681241237375587 -3.899108613353923
