# 3D harmonic oscillator
# eigenvalue = 1.500000e+00

#log10(N)              log10(error)
#3.0102999566398120e-01 -inf
6.0205999132796240e-01 -1.3213035667692290e+00
9.0308998699194354e-01 -2.3555527541401915e+00
1.2041199826559248e+00 -2.2451151846674726e+00
1.5051499783199060e+00 -2.0877840267812893e+00
1.8061799739838871e+00 -2.0561082513637903e+00
2.1072099696478683e+00 -2.0485453612234559e+00
2.4082399653118496e+00 -2.0466755240329197e+00
2.7092699609758308e+00 -2.0462093501490948e+00
3.0102999566398121e+00 -2.0460928864887165e+00
