#Dimension         error
0 -0.1588706716728878
0.3010299956639812 -0.3545995391342587
0.4771212547196624 -0.5699400546430409
0.6020599913279624 -0.7964681631848767
0.6989700043360189 -1.029650136759766
0.7781512503836436 -1.266158757815071
0.8450980400142568 -1.501665305125466
0.9030899869919435 -1.727897688896616
0.9542425094393249 -1.929544981526103
1 -2.085569096815894
1.041392685158225 -2.18139244943206
1.079181246047625 -2.223155302324433
1.113943352306837 -2.23308897879253
1.146128035678238 -2.233171277716899
1.176091259055681 -2.237283780997093
1.204119982655925 -2.252116256213113
1.230448921378274 -2.279888323556998
1.255272505103306 -2.320195462471376
1.278753600952829 -2.370939450039808
1.301029995663981 -2.428769818355842
1.322219294733919 -2.489376478747248
1.342422680822206 -2.547890032358412
1.361727836017593 -2.599570011170894
1.380211241711606 -2.640764186816676
1.397940008672038 -2.669798866100912
1.414973347970818 -2.687295305835278
1.431363764158987 -2.695699043287889
1.447158031342219 -2.698334416958385
1.462397997898956 -2.698509095105358
1.477121254719662 -2.698975350611055
1.491361693834273 -2.701748314972193
1.505149978319906 -2.708139643513651
1.518513939877888 -2.718873142258618
1.531478917042255 -2.734205576482684
1.544068044350276 -2.754022769628933
1.556302500767287 -2.777906897110543
1.568201724066995 -2.805182072874397
1.57978359661681 -2.83494949485108
1.591064607026499 -2.866124854406348
1.602059991327963 -2.897490611423459
1.612783856719735 -2.927773165980117
1.623249290397901 -2.955748170516895
1.633468455579587 -2.980365630889503
1.643452676486187 -3.000872915800696
1.653212513775344 -3.016905225084732
1.662757831681574 -3.028516756548993
1.672097857935718 -3.036142942886042
1.681241237375587 -3.040506649830439
