# omega0=1, alpha=2
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  8.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 7.971918918075556e-01 -5.974108095683273e-02
1.823856402664613e-01 7.894162678266777e-01 -1.092045364581528e-01
2.735784603996920e-01 7.775428086381270e-01 -1.498363985099360e-01
3.647712805329227e-01 7.623186889397371e-01 -1.828819775133773e-01
4.559641006661534e-01 7.443856565637335e-01 -2.094123613816508e-01
5.471569207993838e-01 7.242948035724672e-01 -2.303484760213710e-01
6.383497409326140e-01 7.025192632336450e-01 -2.464824985058366e-01
7.295425610658441e-01 6.794650756823876e-01 -2.584966197356068e-01
8.207353811990743e-01 6.554804589356616e-01 -2.669792837597398e-01
9.119282013323045e-01 6.308637065371719e-01 -2.724391063932056e-01
1.003121021465535e+00 6.058699127065449e-01 -2.753167127367183e-01
1.094313841598765e+00 5.807167033542022e-01 -2.759947442712835e-01
1.185506661731995e+00 5.555891286199719e-01 -2.748062806223521e-01
1.276699481865225e+00 5.306438508981473e-01 -2.720419054727998e-01
1.367892301998455e+00 5.060127423176124e-01 -2.679556250346136e-01
1.459085122131685e+00 4.818059876993485e-01 -2.627698240629785e-01
1.550277942264916e+00 4.581147732308368e-01 -2.566794206404839e-01
1.641470762398146e+00 4.350136274448818e-01 -2.498553581457044e-01
1.732663582531376e+00 4.125624694458373e-01 -2.424475516979334e-01
1.823856402664606e+00 3.908084095149050e-01 -2.345873873291101e-01
1.915049222797836e+00 3.697873390498849e-01 -2.263898553259266e-01
2.006242042931067e+00 3.495253400492319e-01 -2.179553846037101e-01
2.097434863064297e+00 3.300399388366547e-01 -2.093714325138744e-01
2.188627683197527e+00 3.113412242544665e-01 -2.007138739845433e-01
2.279820503330757e+00 2.934328469616803e-01 -1.920482251542813e-01
2.371013323463987e+00 2.763129136051120e-01 -1.834307294745519e-01
2.462206143597217e+00 2.599747873561379e-01 -1.749093284211421e-01
2.553398963730448e+00 2.444078045083157e-01 -1.665245342711371e-01
2.644591783863678e+00 2.295979154152440e-01 -1.583102186873905e-01
2.735784603996908e+00 2.155282569331223e-01 -1.502943279416405e-01
2.826977424130138e+00 2.021796626519738e-01 -1.424995333541413e-01
2.918170244263368e+00 1.895311164994091e-01 -1.349438238046995e-01
3.009363064396598e+00 1.775601547378671e-01 -1.276410458684913e-01
3.100555884529828e+00 1.662432209163431e-01 -1.206013961584317e-01
3.191748704663059e+00 1.555559779541827e-01 -1.138318697382845e-01
3.282941524796289e+00 1.454735812073510e-01 -1.073366679452413e-01
3.374134344929519e+00 1.359709160815020e-01 -1.011175685776654e-01
3.465327165062749e+00 1.270228035000522e-01 -9.517426112384940e-02
3.556519985195979e+00 1.186041763013446e-01 -8.950464950053352e-02
3.647712805329209e+00 1.106902294213394e-01 -8.410512461242868e-02
3.738905625462440e+00 1.032565465134012e-01 -7.897080891887751e-02
3.830098445595670e+00 9.627920546229840e-02 -7.409577508859401e-02
3.921291265728900e+00 8.973486506411212e-02 -6.947324072943141e-02
4.012484085862130e+00 8.360083496662007e-02 -6.509574109147666e-02
