# omega0=1, alpha=0.2
# theta0=-0.79, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
1.000655437810074e+01 -9.828795647034266e+00 -9.282391903878714e-01
1.012290966156703e+01 -9.934462527434828e+00 -8.892075573359118e-01
1.023926494503331e+01 -1.003597747314187e+01 -8.567230605698922e-01
1.035562022849960e+01 -1.013405153331074e+01 -8.299261163843015e-01
1.047197551196589e+01 -1.022930006497264e+01 -8.080305629571926e-01
1.058833079543218e+01 -1.032225089436553e+01 -7.903166453023479e-01
1.070468607889846e+01 -1.041335153943818e+01 -7.761221801728789e-01
1.082104136236475e+01 -1.050297537051613e+01 -7.648333353069764e-01
1.093739664583104e+01 -1.059142672489832e+01 -7.558760040464312e-01
1.105375192929733e+01 -1.067894508641308e+01 -7.487084515778427e-01
1.117010721276361e+01 -1.076570850674561e+01 -7.428156994010631e-01
1.128646249622990e+01 -1.085183649025687e+01 -7.377059596808880e-01
1.140281777969619e+01 -1.093739259259964e+01 -7.329093014636889e-01
1.151917306316247e+01 -1.102238699739415e+01 -7.279786063293551e-01
1.163552834662876e+01 -1.110677933441114e+01 -7.224927403201412e-01
1.175188363009505e+01 -1.119048198610226e+01 -7.160617282576651e-01
1.186823891356134e+01 -1.127336409590010e+01 -7.083335695665973e-01
1.198459419702762e+01 -1.135525644129686e+01 -6.990021917675817e-01
1.210094948049391e+01 -1.143595726861952e+01 -6.878159141041865e-01
1.221730476396020e+01 -1.151523910790542e+01 -6.745857068837623e-01
1.233366004742649e+01 -1.159285650061646e+01 -6.591924985261602e-01
1.245001533089277e+01 -1.166855448705889e+01 -6.415928137320226e-01
1.256637061435906e+01 -1.174207762216603e+01 -6.218221262842574e-01
1.268272589782535e+01 -1.181317922548265e+01 -5.999954725286248e-01
1.279908118129164e+01 -1.188163053017504e+01 -5.763050804332437e-01
1.291543646475792e+01 -1.194722938075005e+01 -5.510150005952212e-01
1.303179174822421e+01 -1.200980814095198e+01 -5.244529523626015e-01
1.314814703169050e+01 -1.206924050992975e+01 -4.969997943660460e-01
1.326450231515678e+01 -1.212544700140445e+01 -4.690771739790657e-01
1.338085759862307e+01 -1.217839891054364e+01 -4.411339931792276e-01
