# omega0=1, alpha=4
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
2.079196299037648e+01 3.508233370682284e-03 -9.400258409282727e-04
2.088315581050971e+01 3.423548606633412e-03 -9.173348004999578e-04
2.097434863064294e+01 3.340908026551564e-03 -8.951914852365665e-04
2.106554145077617e+01 3.260262287102410e-03 -8.735826744993647e-04
2.115673427090940e+01 3.181563235971231e-03 -8.524954667210187e-04
2.124792709104263e+01 3.104763883118308e-03 -8.319172717078372e-04
2.133911991117586e+01 3.029818372727805e-03 -8.118358031275266e-04
2.143031273130909e+01 2.956681955833430e-03 -7.922390711780031e-04
2.152150555144232e+01 2.885310963604554e-03 -7.731153754329085e-04
2.161269837157555e+01 2.815662781276872e-03 -7.544532978595870e-04
2.170389119170878e+01 2.747695822712064e-03 -7.362416960053728e-04
2.179508401184201e+01 2.681369505571314e-03 -7.184696963481442e-04
2.188627683197524e+01 2.616644227087847e-03 -7.011266878071940e-04
2.197746965210847e+01 2.553481340424088e-03 -6.842023154105582e-04
2.206866247224170e+01 2.491843131599307e-03 -6.676864741150411e-04
2.215985529237493e+01 2.431692796974024e-03 -6.515693027752604e-04
2.225104811250816e+01 2.372994421277728e-03 -6.358411782581298e-04
2.234224093264139e+01 2.315712956166815e-03 -6.204927096992742e-04
2.243343375277462e+01 2.259814199299962e-03 -6.055147328979651e-04
2.252462657290785e+01 2.205264773918450e-03 -5.908983048472386e-04
2.261581939304108e+01 2.152032108919268e-03 -5.766346983959418e-04
2.270701221317431e+01 2.100084419409090e-03 -5.627153970395321e-04
2.279820503330754e+01 2.049390687727562e-03 -5.491320898365256e-04
2.288939785344077e+01 1.999920644928540e-03 -5.358766664475708e-04
2.298059067357400e+01 1.951644752708266e-03 -5.229412122941934e-04
2.307178349370723e+01 1.904534185769668e-03 -5.103180038343270e-04
2.316297631384046e+01 1.858560814612296e-03 -4.979995039518198e-04
2.325416913397369e+01 1.813697188737600e-03 -4.859783574571657e-04
