#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
2.665581e+00  -7.097897e+00  -7.097897e+00  -6.340092e+00
2.667453e+00  -6.258624e+00  -7.097897e+00  -6.340092e+00
2.669317e+00  -6.571210e+00  -6.258624e+00  -6.340092e+00
2.671173e+00  -6.190052e+00  -6.440455e+00  -6.440455e+00
2.673021e+00  -6.340092e+00  -5.906478e+00  -6.258624e+00
2.674861e+00  -6.340092e+00  -7.839390e+00  -6.571210e+00
2.676694e+00  -7.097897e+00  -6.692373e+00  -6.526726e+00
2.678518e+00  -6.526726e+00  -6.407105e+00  -6.759172e+00
2.680336e+00  -6.759172e+00  -6.526726e+00  -6.171001e+00
2.682145e+00  -6.571210e+00  -6.759172e+00  -6.963499e+00
2.683947e+00  -6.440455e+00  -6.692373e+00  -6.407105e+00
2.685742e+00  -6.190052e+00  -6.440455e+00  -6.114175e+00
2.687529e+00  -7.839390e+00  -5.906478e+00  -7.839390e+00
2.689309e+00  -6.440455e+00  -6.407105e+00  -6.759172e+00
2.691081e+00  -6.407105e+00  -5.978108e+00  -6.692373e+00
2.692847e+00  -6.759172e+00  -7.097897e+00  -6.692373e+00
2.694605e+00  -6.340092e+00  -6.692373e+00  -6.963499e+00
2.696356e+00  -7.839390e+00  -6.526726e+00  -6.258624e+00
2.698101e+00  -7.097897e+00  -6.313417e+00  -6.571210e+00
2.699838e+00  -6.032238e+00  -6.340092e+00  -6.407105e+00
2.701568e+00  -6.759172e+00  -6.114175e+00  -6.340092e+00
2.703291e+00  -6.440455e+00  -6.407105e+00  -6.340092e+00
2.705008e+00  -6.340092e+00  -6.078749e+00  -6.190052e+00
2.706718e+00  -6.032238e+00  -6.526726e+00  -6.130844e+00
2.708421e+00  -6.759172e+00  -6.407105e+00  -6.759172e+00
2.710117e+00  -7.097897e+00  -6.571210e+00  -6.692373e+00
2.711807e+00  -6.963499e+00  -6.692373e+00  -6.963499e+00
2.713491e+00  -7.097897e+00  -7.839390e+00  -6.258624e+00
2.715167e+00  -6.313417e+00  -6.440455e+00  -6.340092e+00
2.716838e+00  -6.032238e+00  -6.258624e+00  -6.692373e+00
2.718502e+00  -6.440455e+00  -6.190052e+00  -6.692373e+00
2.720159e+00  -6.313417e+00  -6.692373e+00  -6.313417e+00
2.721811e+00  -6.190052e+00  -6.440455e+00  -6.440455e+00
2.723456e+00  -7.839390e+00  -6.236397e+00  -6.526726e+00
2.725095e+00  -6.130844e+00  -6.571210e+00  -6.963499e+00
2.726727e+00  -6.340092e+00  -6.440455e+00  -5.940818e+00
2.728354e+00  -7.097897e+00  -7.097897e+00  -6.340092e+00
2.729974e+00  -6.571210e+00  -6.313417e+00  -6.258624e+00
2.731589e+00  -6.258624e+00  -6.759172e+00  -7.097897e+00
2.733197e+00  -6.440455e+00  -6.440455e+00  -6.692373e+00
2.734800e+00  -6.018904e+00  -6.407105e+00  -6.440455e+00
2.736397e+00  -6.078749e+00  -7.839390e+00  -7.839390e+00
2.737987e+00  -6.963499e+00  -7.839390e+00  -6.526726e+00
2.739572e+00  -6.258624e+00  -6.759172e+00  -6.759172e+00
2.741152e+00  -6.440455e+00  -6.963499e+00  -6.407105e+00
2.742725e+00  -6.130844e+00  -7.097897e+00  -6.526726e+00
2.744293e+00  -6.759172e+00  -6.407105e+00  -7.097897e+00
2.745855e+00  -6.078749e+00  -6.526726e+00  -7.097897e+00
2.747412e+00  -6.190052e+00  -7.839390e+00  -7.097897e+00
2.748963e+00  -6.258624e+00  -5.916735e+00  -6.571210e+00
2.750508e+00  -7.839390e+00  -6.340092e+00  -7.097897e+00
2.752048e+00  -6.759172e+00  -7.097897e+00  -6.963499e+00
2.753583e+00  -5.825587e+00  -6.571210e+00  -7.097897e+00
2.755112e+00  -7.839390e+00  -7.097897e+00  -6.258624e+00
2.756636e+00  -6.571210e+00  -6.407105e+00  -6.571210e+00
2.758155e+00  -7.839390e+00  -6.407105e+00  -7.097897e+00
2.759668e+00  -5.853896e+00  -6.526726e+00  -6.759172e+00
2.761176e+00  -6.571210e+00  -6.571210e+00  -5.990230e+00
2.762679e+00  -6.078749e+00  -6.407105e+00  -6.063932e+00
2.764176e+00  -6.340092e+00  -6.963499e+00  -6.440455e+00
2.765669e+00  -6.692373e+00  -6.032238e+00  -6.407105e+00
2.767156e+00  -6.340092e+00  -6.313417e+00  -7.839390e+00
2.768638e+00  -6.526726e+00  -6.692373e+00  -6.440455e+00
2.770115e+00  -6.526726e+00  -6.018904e+00  -6.692373e+00
2.771587e+00  -6.571210e+00  -6.571210e+00  -6.759172e+00
2.773055e+00  -6.963499e+00  -6.407105e+00  -6.759172e+00
2.774517e+00  -6.692373e+00  -7.839390e+00  -7.097897e+00
2.775974e+00  -6.571210e+00  -6.171001e+00  -6.313417e+00
2.777427e+00  -6.190052e+00  -6.963499e+00  -6.963499e+00
2.778874e+00  -6.407105e+00  -6.340092e+00  -6.340092e+00
2.780317e+00  -6.258624e+00  -6.236397e+00  -7.097897e+00
2.781755e+00  -6.692373e+00  -6.526726e+00  -6.759172e+00
2.783189e+00  -6.440455e+00  -6.236397e+00  -6.236397e+00
2.784617e+00  -5.990230e+00  -7.097897e+00  -6.692373e+00
2.786041e+00  -6.692373e+00  -6.313417e+00  -7.097897e+00
2.787460e+00  -6.190052e+00  -6.340092e+00  -6.526726e+00
2.788875e+00  -7.839390e+00  -6.759172e+00  -6.526726e+00
2.790285e+00  -7.839390e+00  -6.571210e+00  -7.839390e+00
2.791691e+00  -6.571210e+00  -6.963499e+00  -6.692373e+00
2.793092e+00  -6.340092e+00  -6.190052e+00  -5.990230e+00
2.794488e+00  -6.340092e+00  -6.571210e+00  -6.236397e+00
2.795880e+00  -6.190052e+00  -6.526726e+00  -6.759172e+00
2.797268e+00  -6.236397e+00  -6.526726e+00  -5.978108e+00
2.798651e+00  -6.759172e+00  -6.571210e+00  -6.018904e+00
2.800029e+00  -6.313417e+00  -6.692373e+00  -6.759172e+00
2.801404e+00  -6.440455e+00  -6.407105e+00  -6.571210e+00
2.802774e+00  -6.571210e+00  -6.759172e+00  -7.839390e+00
2.804139e+00  -6.190052e+00  -6.526726e+00  -6.526726e+00
2.805501e+00  -6.571210e+00  -6.032238e+00  -6.236397e+00
2.806858e+00  -6.340092e+00  -6.114175e+00  -5.853896e+00
2.808211e+00  -6.078749e+00  -6.114175e+00  -6.963499e+00
2.809560e+00  -6.032238e+00  -6.692373e+00  -6.963499e+00
2.810904e+00  -6.692373e+00  -6.692373e+00  -7.097897e+00
2.812245e+00  -5.990230e+00  -6.759172e+00  -6.571210e+00
2.813581e+00  -6.440455e+00  -6.407105e+00  -6.258624e+00
2.814913e+00  -7.839390e+00  -6.340092e+00  -7.839390e+00
2.816241e+00  -6.759172e+00  -6.190052e+00  -6.190052e+00
2.817565e+00  -6.571210e+00  -6.236397e+00  -6.407105e+00
2.818885e+00  -6.236397e+00  -7.097897e+00  -6.963499e+00
2.820201e+00  -6.130844e+00  -6.440455e+00  -6.571210e+00
2.821514e+00  -6.340092e+00  -6.340092e+00  -6.407105e+00
2.822822e+00  -6.692373e+00  -6.571210e+00  -6.526726e+00
2.824126e+00  -6.692373e+00  -6.571210e+00  -6.407105e+00
2.825426e+00  -6.130844e+00  -6.571210e+00  -6.571210e+00
2.826723e+00  -6.078749e+00  -7.839390e+00  -6.258624e+00
2.828015e+00  -7.097897e+00  -6.063932e+00  -7.097897e+00
2.829304e+00  -6.759172e+00  -6.236397e+00  -6.018904e+00
2.830589e+00  -6.063932e+00  -7.839390e+00  -7.839390e+00
2.831870e+00  -7.839390e+00  -6.759172e+00  -6.692373e+00
2.833147e+00  -6.526726e+00  -7.839390e+00  -6.692373e+00
2.834421e+00  -6.963499e+00  -6.571210e+00  -6.759172e+00
2.835691e+00  -6.692373e+00  -6.963499e+00  -6.171001e+00
2.836957e+00  -6.571210e+00  -6.526726e+00  -6.190052e+00
2.838219e+00  -6.526726e+00  -6.963499e+00  -6.407105e+00
2.839478e+00  -6.236397e+00  -6.313417e+00  -7.839390e+00
2.840733e+00  -6.571210e+00  -6.313417e+00  -7.839390e+00
2.841985e+00  -6.032238e+00  -6.171001e+00  -7.097897e+00
2.843233e+00  -7.839390e+00  -6.759172e+00  -7.097897e+00
2.844477e+00  -6.407105e+00  -7.839390e+00  -6.526726e+00
2.845718e+00  -6.032238e+00  -6.130844e+00  -5.978108e+00
2.846955e+00  -6.440455e+00  -7.097897e+00  -7.839390e+00
2.848189e+00  -6.313417e+00  -6.171001e+00  -5.990230e+00
2.849419e+00  -6.258624e+00  -7.097897e+00  -6.063932e+00
2.850646e+00  -6.340092e+00  -6.526726e+00  -6.759172e+00
2.851870e+00  -6.130844e+00  -7.839390e+00  -6.407105e+00
2.853090e+00  -6.571210e+00  -6.407105e+00  -6.130844e+00
2.854306e+00  -7.097897e+00  -6.130844e+00  -6.171001e+00
2.855519e+00  -6.440455e+00  -6.236397e+00  -6.571210e+00
2.856729e+00  -6.571210e+00  -5.853896e+00  -6.063932e+00
2.857935e+00  -7.839390e+00  -5.990230e+00  -6.236397e+00
2.859138e+00  -6.571210e+00  -6.313417e+00  -6.963499e+00
2.860338e+00  -6.440455e+00  -6.190052e+00  -7.097897e+00
2.861534e+00  -6.759172e+00  -6.526726e+00  -6.340092e+00
2.862728e+00  -6.526726e+00  -6.018904e+00  -6.340092e+00
2.863917e+00  -5.940818e+00  -6.526726e+00  -6.340092e+00
2.865104e+00  -6.526726e+00  -6.114175e+00  -6.571210e+00
2.866287e+00  -6.692373e+00  -6.440455e+00  -6.171001e+00
2.867467e+00  -6.759172e+00  -6.692373e+00  -6.340092e+00
2.868644e+00  -6.759172e+00  -6.692373e+00  -6.571210e+00
2.869818e+00  -6.759172e+00  -6.526726e+00  -7.097897e+00
2.870989e+00  -6.190052e+00  -6.407105e+00  -6.114175e+00
2.872156e+00  -6.313417e+00  -6.114175e+00  -6.440455e+00
2.873321e+00  -6.236397e+00  -6.258624e+00  -6.171001e+00
2.874482e+00  -7.097897e+00  -6.171001e+00  -6.759172e+00
2.875640e+00  -6.407105e+00  -6.078749e+00  -5.916735e+00
2.876795e+00  -6.759172e+00  -6.407105e+00  -6.313417e+00
2.877947e+00  -6.190052e+00  -6.236397e+00  -6.692373e+00
2.879096e+00  -6.963499e+00  -6.114175e+00  -7.097897e+00
2.880242e+00  -6.571210e+00  -6.171001e+00  -6.114175e+00
2.881385e+00  -6.440455e+00  -7.097897e+00  -5.874656e+00
2.882525e+00  -6.407105e+00  -6.313417e+00  -6.692373e+00
2.883661e+00  -7.097897e+00  -6.963499e+00  -7.839390e+00
2.884795e+00  -6.171001e+00  -6.258624e+00  -6.340092e+00
2.885926e+00  -6.171001e+00  -6.236397e+00  -7.097897e+00
2.887054e+00  -6.340092e+00  -6.963499e+00  -6.526726e+00
2.888179e+00  -7.839390e+00  -6.171001e+00  -6.963499e+00
2.889302e+00  -6.407105e+00  -6.526726e+00  -6.236397e+00
2.890421e+00  -6.190052e+00  -6.190052e+00  -6.190052e+00
2.891537e+00  -6.340092e+00  -6.236397e+00  -6.692373e+00
2.892651e+00  -6.963499e+00  -6.571210e+00  -6.526726e+00
2.893762e+00  -6.759172e+00  -6.440455e+00  -6.236397e+00
2.894870e+00  -5.990230e+00  -6.130844e+00  -6.759172e+00
2.895975e+00  -7.097897e+00  -6.236397e+00  -6.190052e+00
2.897077e+00  -6.407105e+00  -6.963499e+00  -5.990230e+00
2.898176e+00  -6.171001e+00  -6.190052e+00  -6.963499e+00
2.899273e+00  -7.839390e+00  -6.759172e+00  -6.407105e+00
2.900367e+00  -6.190052e+00  -7.839390e+00  -6.018904e+00
2.901458e+00  -6.963499e+00  -7.097897e+00  -7.097897e+00
